                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   60121633 |   60076141 |   60080559 |   60073198 |   60096141 |   60072142 |   60104889 |   60074134 |   60072550 |   60110715 |   60079294 |   60086776 |   60073027 |   60074848
  Cycles                             |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786 |  280954786
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100 |  105622100
  Idle time (ns)                     |        -85 |        -43 |         19 |         69 |         19 |        -85 |         -6 |         57 |         52 |        -27 |         52 |        -43 |         45 |        -30
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022011 |   10014492 |   10015229 |   10014002 |   10017826 |   10013827 |   10019284 |   10014158 |   10013894 |   10020255 |   10015018 |   10016266 |   10013974 |   10014277
  num incorrect                      |       1515 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40211 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |         73 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        125 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120
    num misses                       |        123 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     98.40% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5565 |       6972 |       6908 |       6992 |       6510 |       6677 |       6013 |       7002 |       6922 |       5781 |       6807 |       6562 |       6956 |       6924
    miss rate                        |     36.29% |     45.98% |     45.56% |     46.11% |     42.93% |     44.03% |     39.65% |     46.18% |     45.65% |     38.12% |     44.89% |     43.27% |     45.87% |     45.66%
    mpki                             |       0.09 |       0.12 |       0.11 |       0.12 |       0.11 |       0.11 |       0.10 |       0.12 |       0.12 |       0.10 |       0.11 |       0.11 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40211 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       8406 |       9576 |       9342 |       9653 |       8990 |       9396 |       8436 |       9737 |       9566 |       8314 |       9474 |       8945 |       9555 |       9702
    miss rate                        |     20.90% |     24.03% |     23.45% |     24.23% |     22.56% |     23.58% |     21.17% |     24.44% |     24.01% |     20.87% |     23.78% |     22.45% |     23.98% |     24.35%
    mpki                             |       0.14 |       0.16 |       0.16 |       0.16 |       0.15 |       0.16 |       0.14 |       0.16 |       0.16 |       0.14 |       0.16 |       0.15 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14006 |      16579 |      16281 |      16677 |      15531 |      16105 |      14480 |      16770 |      16519 |      14127 |      16312 |      15539 |      16542 |      16658
    num cache misses                 |      11832 |      14155 |      13733 |      13961 |      12852 |      13454 |      11946 |      14004 |      13943 |      11824 |      13726 |      13015 |      13889 |      14122
    miss rate                        |     84.48% |     85.38% |     84.35% |     83.71% |     82.75% |     83.54% |     82.50% |     83.51% |     84.41% |     83.70% |     84.15% |     83.76% |     83.96% |     84.78%
    mpki                             |       0.20 |       0.24 |       0.23 |       0.23 |       0.21 |       0.22 |       0.20 |       0.23 |       0.23 |       0.20 |       0.23 |       0.22 |       0.23 |       0.24
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11869 |      14186 |      13764 |      13993 |      12883 |      13486 |      11977 |      14035 |      13974 |      11857 |      13759 |      13047 |      13922 |      14154
    num cache misses                 |       2674 |       2640 |       2629 |       2638 |       2626 |       2629 |       2618 |       2638 |       2636 |       2610 |       2639 |       2636 |       2638 |       2643
    miss rate                        |     22.53% |     18.61% |     19.10% |     18.85% |     20.38% |     19.49% |     21.86% |     18.80% |     18.86% |     22.01% |     19.18% |     20.20% |     18.95% |     18.67%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      37373 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      97.55 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      44.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1329 |       1374 |       1353 |       1372 |       1342 |       1360 |       1337 |       1362 |       1367 |       1330 |       1360 |       1353 |       1363 |       1375
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
