                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   60121380 |   60121652 |   60112113 |   60113620 |   60108658 |   60116662 |   60106312 |   60103857
  Cycles                             |  160659212 |  160659212 |  160659212 |  160659212 |  160659212 |  160659212 |  160659212 |  160659212
  IPC                                |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37
  Time (ns)                          |   60398200 |   60398200 |   60398200 |   60398200 |   60398200 |   60398200 |   60398200 |   60398200
  Idle time (ns)                     |        146 |        -62 |        -21 |          3 |        -11 |        -62 |        -11 |         16
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10021985 |   10022011 |   10020488 |   10020740 |   10019913 |   10021247 |   10019523 |   10019113
  num incorrect                      |       1491 |       1515 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15286 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         50 |         52 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.33% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40124 |      40224 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |         73 |         73 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        125 |        120 |        120 |        120 |        120 |        120 |        120
    num misses                       |        121 |        123 |        118 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     98.37% |     98.40% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15286 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5382 |       5251 |       5465 |       5569 |       5321 |       5377 |       5287 |       4763
    miss rate                        |     35.21% |     34.25% |     36.04% |     36.73% |     35.09% |     35.46% |     34.87% |     31.41%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40124 |      40224 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       5246 |       5100 |       5235 |       5272 |       5233 |       5218 |       5168 |       4906
    miss rate                        |     13.07% |     12.68% |     13.14% |     13.23% |     13.13% |     13.10% |     12.97% |     12.31%
    mpki                             |       0.09 |       0.08 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10661 |      10384 |      10734 |      10874 |      10587 |      10626 |      10486 |       9703
    num cache misses                 |       3928 |       3903 |       3884 |       3875 |       3924 |       3867 |       3881 |       3818
    miss rate                        |     36.84% |     37.59% |     36.18% |     35.64% |     37.06% |     36.39% |     37.01% |     39.35%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3964 |       3939 |       3921 |       3911 |       3960 |       3902 |       3916 |       3854
    num cache misses                 |       2448 |       2479 |       2413 |       2413 |       2413 |       2413 |       2413 |       2413
    miss rate                        |     61.76% |     62.93% |     61.54% |     61.70% |     60.93% |     61.84% |     61.62% |     62.61%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19411 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      82.62 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      29.19 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1138 |       1139 |       1144 |       1144 |       1141 |       1140 |       1139 |       1145
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
