                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   60121370 |   60121576 |   60121561 |   60121446 |   60121376 |   60121445 |   60121355 |   60121275 |   60121155 |   60121196 |   60121621
  Cycles                             |  220398822 |  220398822 |  220398822 |  220398822 |  220398822 |  220398822 |  220398822 |  220398822 |  220398822 |  220398822 |  220398822
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   82856700 |   82856700 |   82856700 |   82856700 |   82856700 |   82856700 |   82856700 |   82856700 |   82856700 |   82856700 |   82856700
  Idle time (ns)                     |         47 |          0 |        -47 |         80 |         30 |         -8 |          9 |        -13 |         21 |         21 |        -47
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021981 |   10022006 |   10022002 |   10021987 |   10021982 |   10021987 |   10021981 |   10021968 |   10021956 |   10021959 |   10022009
  num incorrect                      |       1488 |       1512 |       1511 |       1498 |       1491 |       1498 |       1487 |       1479 |       1472 |       1473 |       1517
  misprediction rate                 |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02%
  mpki                               |       0.02 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15282 |      15326 |      15323 |      15296 |      15285 |      15296 |      15280 |      15263 |      15244 |      15249 |      15333
    num misses                       |         50 |         51 |         51 |         51 |         50 |         51 |         50 |         50 |         49 |         49 |         52
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
