                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   60107113 |   60088154 |   60118912 |   60102850 |   60083832 |   60086862 |   60086262 |   60121629 |   60085042 |   60103221 |   60107470 |   60083242 |   60085327 |   60103058 |   60082912 |   60083296
  Cycles                             |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834 |  321287834
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900 |  120784900
  Idle time (ns)                     |        179 |        161 |        167 |        153 |        103 |         97 |         62 |        -13 |        167 |        153 |         62 |        -13 |         84 |        146 |         77 |         19
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10019650 |   10016490 |   10021617 |   10018940 |   10015770 |   10016276 |   10016175 |   10022009 |   10015972 |   10019002 |   10019710 |   10015672 |   10016019 |   10018975 |   10015617 |   10015681
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      40209 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         76 |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
