                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121712 |     120381 |     120595
  Cycles                             |   60741898 |   60741898 |   60741898
  IPC                                |       0.99 |       0.00 |       0.00
  Time (ns)                          |   22835300 |   22835300 |   22835300
  Idle time (ns)                     |       -612 |         -5 |         -5
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022009 |      21897 |      21909
  num incorrect                      |       1517 |       1423 |       1436
  misprediction rate                 |      0.02% |      6.10% |      6.15%
  mpki                               |       0.03 |      11.82 |      11.91
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15333 |      15115 |      15146
    num misses                       |         52 |         45 |         47
    miss rate                        |      0.34% |      0.30% |      0.31%
    mpki                             |       0.00 |       0.37 |       0.39
  D-TLB                              |            |            |           
    num accesses                     |      40252 |      39704 |      39790
    num misses                       |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.62 |       0.62
  L2 TLB                             |            |            |           
    num accesses                     |        128 |        120 |        122
    num misses                       |        123 |        115 |        117
    miss rate                        |     96.09% |     95.83% |     95.90%
    mpki                             |       0.00 |       0.96 |       0.97
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15333 |      15115 |      15146
    num cache misses                 |       1262 |       1178 |       1222
    miss rate                        |      8.23% |      7.79% |      8.07%
    mpki                             |       0.02 |       9.79 |      10.13
  Cache L1-D                         |            |            |           
    num cache accesses               |      40252 |      39704 |      39790
    num cache misses                 |       2197 |       2166 |       2166
    miss rate                        |      5.46% |      5.46% |      5.44%
    mpki                             |       0.04 |      17.99 |      17.96
  Cache L2                           |            |            |           
    num cache accesses               |       3496 |       3379 |       3423
    num cache misses                 |       2735 |       2603 |       2630
    miss rate                        |     78.23% |     77.03% |     76.83%
    mpki                             |       0.05 |      21.62 |      21.81
  Cache L3                           |            |            |           
    num cache accesses               |       2773 |       2638 |       2666
    num cache misses                 |       2477 |       2378 |       2402
    miss rate                        |     89.33% |     90.14% |     90.10%
    mpki                             |       0.04 |      19.75 |      19.92
DRAM summary                         |            |            |           
  num dram accesses                  |       7257 |          0 |          0
  average dram access latency (ns)   |      66.54 |        inf |        inf
  average dram queueing delay        |      13.11 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1128 |       1117 |       1121
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
