                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   60121634 |   60115126 |   60105196 |   60101164 |   60102808 |   60112660
  Cycles                             |  120773310 |  120773310 |  120773310 |  120773310 |  120773310 |  120773310
  IPC                                |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50
  Time (ns)                          |   45403500 |   45403500 |   45403500 |   45403500 |   45403500 |   45403500
  Idle time (ns)                     |        -63 |        -64 |        -24 |        -63 |         -0 |        -24
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022009 |   10020971 |   10019331 |   10018660 |   10018934 |   10020577
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40212 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         76 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        128 |        123 |        123 |        123 |        123 |        123
    num misses                       |        123 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     96.09% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4102 |       4287 |       4421 |       4257 |       4377 |       4312
    miss rate                        |     26.75% |     28.27% |     29.15% |     28.07% |     28.86% |     28.44%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40212 |      39846 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       3907 |       4008 |       4053 |       3993 |       4051 |       4083
    miss rate                        |      9.72% |     10.06% |     10.17% |     10.02% |     10.17% |     10.25%
    mpki                             |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8045 |       8329 |       8507 |       8283 |       8462 |       8429
    num cache misses                 |       3785 |       3737 |       3733 |       3687 |       3687 |       3745
    miss rate                        |     47.05% |     44.87% |     43.88% |     44.51% |     43.57% |     44.43%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3822 |       3772 |       3768 |       3723 |       3723 |       3781
    num cache misses                 |       2480 |       2416 |       2416 |       2418 |       2418 |       2419
    miss rate                        |     64.89% |     64.05% |     64.12% |     64.95% |     64.95% |     63.98%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14583 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.44 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1141 |       1135 |       1138 |       1141 |       1142 |       1140
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
