                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   60121650 |   60121503 |   60115468 |   60113014 |   60110059 |   60109789 |   60107930
  Cycles                             |  140798056 |  140798056 |  140798056 |  140798056 |  140798056 |  140798056 |  140798056
  IPC                                |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43
  Time (ns)                          |   52931600 |   52931600 |   52931600 |   52931600 |   52931600 |   52931600 |   52931600
  Idle time (ns)                     |        -25 |        147 |         12 |         -5 |         28 |        -25 |         -0
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10021998 |   10021043 |   10020634 |   10020142 |   10020098 |   10019789
  num incorrect                      |       1517 |       1503 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15313 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         51 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40223 |      40199 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         76 |         76 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        128 |        127 |        123 |        123 |        123 |        123 |        123
    num misses                       |        123 |        122 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     96.09% |     96.06% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15313 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4997 |       5145 |       5706 |       5653 |       5762 |       5588 |       5552
    miss rate                        |     32.59% |     33.60% |     37.63% |     37.28% |     38.00% |     36.85% |     36.61%
    mpki                             |       0.08 |       0.09 |       0.09 |       0.09 |       0.10 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40223 |      40199 |      39846 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       4587 |       4668 |       4841 |       4851 |       4851 |       4775 |       4731
    miss rate                        |     11.40% |     11.61% |     12.15% |     12.17% |     12.17% |     11.98% |     11.87%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       9620 |       9846 |      10580 |      10538 |      10647 |      10396 |      10317
    num cache misses                 |       4138 |       4134 |       4112 |       4120 |       4113 |       4084 |       4071
    miss rate                        |     43.01% |     41.99% |     38.87% |     39.10% |     38.63% |     39.28% |     39.46%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       4176 |       4170 |       4146 |       4155 |       4149 |       4120 |       4106
    num cache misses                 |       2487 |       2469 |       2420 |       2421 |       2421 |       2419 |       2421
    miss rate                        |     59.55% |     59.21% |     58.37% |     58.27% |     58.35% |     58.71% |     58.96%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      17098 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.48 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1153 |       1146 |       1141 |       1145 |       1146 |       1145 |       1150
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
