                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   60114742 |   60121685 |   60118102 |   60121246 |   60119748 |   60113850 |   60112402 |   60114525
  Cycles                             |  160856584 |  160856584 |  160856584 |  160856584 |  160856584 |  160856584 |  160856584 |  160856584
  IPC                                |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37 |       0.37
  Time (ns)                          |   60472400 |   60472400 |   60472400 |   60472400 |   60472400 |   60472400 |   60472400 |   60472400
  Idle time (ns)                     |         -3 |        -33 |         17 |        113 |         -3 |         -3 |          1 |        -33
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10020923 |   10022009 |   10021482 |   10021966 |   10021757 |   10020774 |   10020532 |   10020886
  num incorrect                      |       1441 |       1517 |       1441 |       1477 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15333 |      15164 |      15256 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         52 |         48 |         50 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      39846 |      40239 |      39846 |      40067 |      39846 |      39846 |      39846 |      39846
    num misses                       |         75 |         76 |         75 |         76 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        128 |        123 |        126 |        123 |        123 |        123 |        123
    num misses                       |        118 |        123 |        118 |        121 |        118 |        118 |        118 |        118
    miss rate                        |     95.93% |     96.09% |     95.93% |     96.03% |     95.93% |     95.93% |     95.93% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15333 |      15164 |      15256 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6010 |       5311 |       6084 |       5417 |       5736 |       5978 |       6005 |       6046
    miss rate                        |     39.63% |     34.64% |     40.12% |     35.51% |     37.83% |     39.42% |     39.60% |     39.87%
    mpki                             |       0.10 |       0.09 |       0.10 |       0.09 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39846 |      40239 |      39846 |      40067 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       5420 |       5149 |       5434 |       5250 |       5311 |       5409 |       5441 |       5451
    miss rate                        |     13.60% |     12.80% |     13.64% |     13.10% |     13.33% |     13.57% |     13.66% |     13.68%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11464 |      10496 |      11551 |      10702 |      11081 |      11420 |      11480 |      11530
    num cache misses                 |       4461 |       4430 |       4465 |       4417 |       4418 |       4448 |       4498 |       4484
    miss rate                        |     38.91% |     42.21% |     38.65% |     41.27% |     39.87% |     38.95% |     39.18% |     38.89%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4496 |       4468 |       4499 |       4454 |       4453 |       4483 |       4533 |       4519
    num cache misses                 |       2421 |       2487 |       2421 |       2451 |       2421 |       2421 |       2421 |       2421
    miss rate                        |     53.85% |     55.66% |     53.81% |     55.03% |     54.37% |     54.00% |     53.41% |     53.57%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19516 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.93 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      24.50 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1140 |       1151 |       1149 |       1150 |       1148 |       1148 |       1149 |       1146
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
