                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121621 |   60120841 |   60092155
  Cycles                             |   60443446 |   60443446 |   60443446
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   22723100 |   22723100 |   22723100
  Idle time (ns)                     |       -103 |        -34 |       -103
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022009 |   10021920 |   10017163
  num incorrect                      |       1517 |       1452 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15333 |      15184 |      15164
    num misses                       |         52 |         49 |         48
    miss rate                        |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40207 |      39865 |      39846
    num misses                       |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        128 |        124 |        123
    num misses                       |        123 |        119 |        118
    miss rate                        |     96.09% |     95.97% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15333 |      15184 |      15164
    num cache misses                 |       1406 |       1345 |       1283
    miss rate                        |      9.17% |      8.86% |      8.46%
    mpki                             |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |           
    num cache accesses               |      40207 |      39865 |      39846
    num cache misses                 |       2215 |       2181 |       2186
    miss rate                        |      5.51% |      5.47% |      5.49%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |           
    num cache accesses               |       3662 |       3567 |       3510
    num cache misses                 |       2704 |       2658 |       2669
    miss rate                        |     73.84% |     74.52% |     76.04%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L3                           |            |            |           
    num cache accesses               |       2746 |       2700 |       2710
    num cache misses                 |       2477 |       2425 |       2411
    miss rate                        |     90.20% |     89.81% |     88.97%
    mpki                             |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |           
  num dram accesses                  |       7313 |          0 |          0
  average dram access latency (ns)   |      69.08 |        inf |        inf
  average dram queueing delay        |      15.65 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1133 |       1133 |       1129
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
