                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   60121669 |   60115487 |   60111301 |   60112075 |   60107440 |   60113005 |   60103873
  Cycles                             |  140629412 |  140629412 |  140629412 |  140629412 |  140629412 |  140629412 |  140629412
  IPC                                |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43
  Time (ns)                          |   52868200 |   52868200 |   52868200 |   52868200 |   52868200 |   52868200 |   52868200
  Idle time (ns)                     |         -1 |         40 |         65 |         -1 |         83 |         65 |         86
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10021046 |   10020349 |   10020478 |   10019706 |   10020634 |   10019112
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40234 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         76 |         75 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        128 |        123 |        123 |        123 |        123 |        123 |        123
    num misses                       |        123 |        118 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     96.09% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4938 |       5190 |       5179 |       5287 |       5041 |       5307 |       4731
    miss rate                        |     32.21% |     34.23% |     34.15% |     34.87% |     33.24% |     35.00% |     31.20%
    mpki                             |       0.08 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40234 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       4569 |       4726 |       4638 |       4791 |       4568 |       4738 |       4460
    miss rate                        |     11.36% |     11.86% |     11.64% |     12.02% |     11.46% |     11.89% |     11.19%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       9544 |       9951 |       9850 |      10113 |       9643 |      10078 |       9227
    num cache misses                 |       4079 |       4046 |       4045 |       4062 |       4014 |       4060 |       3984
    miss rate                        |     42.74% |     40.66% |     41.07% |     40.17% |     41.63% |     40.29% |     43.18%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       4117 |       4082 |       4081 |       4099 |       4049 |       4095 |       4021
    num cache misses                 |       2486 |       2421 |       2421 |       2421 |       2421 |       2417 |       2421
    miss rate                        |     60.38% |     59.31% |     59.32% |     59.06% |     59.79% |     59.02% |     60.21%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      17047 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.54 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1146 |       1139 |       1143 |       1145 |       1145 |       1137 |       1145
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
