                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121663 |   60121547 |   60121405
  Cycles                             |   60177446 |   60177446 |   60177446
  IPC                                |       1.00 |       1.00 |       1.00
  Time (ns)                          |   22623100 |   22623100 |   22623100
  Idle time (ns)                     |       -131 |        -82 |       -131
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022010 |   10022003 |   10021985
  num incorrect                      |       1516 |       1509 |       1494
  misprediction rate                 |      0.02% |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.02
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15333 |      15323 |      15289
    num misses                       |         52 |         51 |         50
    miss rate                        |      0.34% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40229 |      40229 |      40105
    num misses                       |        159 |        159 |        159
    miss rate                        |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        211 |        210 |        209
    num misses                       |        127 |        126 |        125
    miss rate                        |     60.19% |     60.00% |     59.81%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15333 |      15323 |      15289
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |      40229 |      40229 |      40105
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
