                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   60121401 |   60121247 |   60121547 |   60121498 |   60121689
  Cycles                             |  100214968 |  100214968 |  100214968 |  100214968 |  100214968
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   37674800 |   37674800 |   37674800 |   37674800 |   37674800
  Idle time (ns)                     |        -17 |         -2 |        -17 |        -38 |        -40
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10021985 |   10021967 |   10022002 |   10021999 |   10022010
  num incorrect                      |       1494 |       1478 |       1509 |       1502 |       1516
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.02%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15289 |      15260 |      15322 |      15312 |      15333
    num misses                       |         50 |         50 |         51 |         51 |         52
    miss rate                        |      0.33% |      0.33% |      0.33% |      0.33% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40139 |      40082 |      40229 |      40198 |      40243
    num misses                       |        159 |        159 |        159 |        159 |        159
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        209 |        209 |        210 |        210 |        211
    num misses                       |        125 |        125 |        126 |        126 |        127
    miss rate                        |     59.81% |     59.81% |     60.00% |     60.00% |     60.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15289 |      15260 |      15322 |      15312 |      15333
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40139 |      40082 |      40229 |      40198 |      40243
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
