                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   60103106 |   60118042 |   60121702 |   60093841 |   60088634 |   60091492 |   60094417 |   60090972 |   60088512 |   60089440 |   60090848
  Cycles                             |  221001844 |  221001844 |  221001844 |  221001844 |  221001844 |  221001844 |  221001844 |  221001844 |  221001844 |  221001844 |  221001844
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   83083400 |   83083400 |   83083400 |   83083400 |   83083400 |   83083400 |   83083400 |   83083400 |   83083400 |   83083400 |   83083400
  Idle time (ns)                     |         76 |         51 |        -30 |         65 |         51 |        -30 |         38 |         11 |         84 |         65 |        110
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10018984 |   10021473 |   10022010 |   10017439 |   10016572 |   10017048 |   10017536 |   10016962 |   10016552 |   10016706 |   10016941
  num incorrect                      |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39845 |      39845 |      40245 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        158 |        158 |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        206 |        206 |        211 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206
    num misses                       |        122 |        122 |        127 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     59.22% |     59.22% |     60.19% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6625 |       5427 |       5110 |       6376 |       6518 |       6652 |       6492 |       6328 |       5711 |       6119 |       6549
    miss rate                        |     43.69% |     35.79% |     33.33% |     42.05% |     42.98% |     43.87% |     42.81% |     41.73% |     37.66% |     40.35% |     43.19%
    mpki                             |       0.11 |       0.09 |       0.08 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39845 |      39845 |      40245 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       7635 |       7001 |       6730 |       7638 |       7655 |       7830 |       7696 |       7681 |       7325 |       7605 |       7746
    miss rate                        |     19.16% |     17.57% |     16.72% |     19.17% |     19.21% |     19.65% |     19.31% |     19.28% |     18.38% |     19.09% |     19.44%
    mpki                             |       0.13 |       0.12 |       0.11 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.12 |       0.13 |       0.13
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14292 |      12461 |      11875 |      14045 |      14206 |      14513 |      14221 |      14042 |      13068 |      13755 |      14328
    num cache misses                 |      10401 |      10031 |       9550 |      10904 |      10838 |      10723 |      10774 |      10915 |      10676 |      10741 |      10888
    miss rate                        |     72.77% |     80.50% |     80.42% |     77.64% |     76.29% |     73.89% |     75.76% |     77.73% |     81.70% |     78.09% |     75.99%
    mpki                             |       0.17 |       0.17 |       0.16 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10433 |      10064 |       9587 |      10935 |      10871 |      10754 |      10808 |      10948 |      10708 |      10773 |      10921
    num cache misses                 |       2555 |       2550 |       2619 |       2556 |       2561 |       2555 |       2554 |       2569 |       2565 |       2566 |       2563
    miss rate                        |     24.49% |     25.34% |     27.32% |     23.37% |     23.56% |     23.76% |     23.63% |     23.47% |     23.95% |     23.82% |     23.47%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
