                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121687 |   60121398 |   60121353
  Cycles                             |   60114404 |   60114404 |   60114404
  IPC                                |       1.00 |       1.00 |       1.00
  Time (ns)                          |   22599400 |   22599400 |   22599400
  Idle time (ns)                     |       -109 |        -53 |       -109
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022010 |   10021985 |   10021971
  num incorrect                      |       1516 |       1494 |       1481
  misprediction rate                 |      0.02% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15333 |      15289 |      15267
    num misses                       |         52 |         50 |         50
    miss rate                        |      0.34% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40239 |      40147 |      40071
    num misses                       |        159 |        159 |        159
    miss rate                        |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        211 |        209 |        209
    num misses                       |        127 |        125 |        125
    miss rate                        |     60.19% |     59.81% |     59.81%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15333 |      15289 |      15267
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |      40239 |      40147 |      40071
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
