                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   60121661 |   60076642 |   60061363 |   60061581 |   60067207 |   60065774 |   60066088 |   60106958 |   60109864 |   60066304 |   60088204 |   60063168 |   60068689 |   60062644 |   60062556 |   60061572
  Cycles                             |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858 |  321038858
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300 |  120691300
  Idle time (ns)                     |        -22 |        117 |        179 |          8 |        116 |          2 |        110 |        109 |        -22 |        103 |         86 |         74 |          2 |        169 |        158 |         44
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022010 |   10014573 |   10012027 |   10012063 |   10013000 |   10012761 |   10012814 |   10019625 |   10020110 |   10012850 |   10016500 |   10012328 |   10013248 |   10012240 |   10012226 |   10012062
  num incorrect                      |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40227 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        211 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206
    num misses                       |        127 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     60.19% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5424 |       6991 |       7186 |       7074 |       6836 |       7051 |       7023 |       6155 |       5809 |       7113 |       6543 |       6816 |       7095 |       7004 |       7062 |       7025
    miss rate                        |     35.37% |     46.10% |     47.39% |     46.65% |     45.08% |     46.50% |     46.31% |     40.59% |     38.31% |     46.91% |     43.15% |     44.95% |     46.79% |     46.19% |     46.57% |     46.33%
    mpki                             |       0.09 |       0.12 |       0.12 |       0.12 |       0.11 |       0.12 |       0.12 |       0.10 |       0.10 |       0.12 |       0.11 |       0.11 |       0.12 |       0.12 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40227 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       8530 |      10340 |      10696 |      10536 |      10236 |      10521 |      10434 |       9135 |       8913 |      10538 |       9655 |      10351 |      10505 |      10530 |      10614 |      10440
    miss rate                        |     21.20% |     25.95% |     26.84% |     26.44% |     25.69% |     26.40% |     26.19% |     22.93% |     22.37% |     26.45% |     24.23% |     25.98% |     26.36% |     26.43% |     26.64% |     26.20%
    mpki                             |       0.14 |       0.17 |       0.18 |       0.18 |       0.17 |       0.18 |       0.17 |       0.15 |       0.15 |       0.18 |       0.16 |       0.17 |       0.17 |       0.18 |       0.18 |       0.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13992 |      17362 |      17913 |      17642 |      17103 |      17603 |      17488 |      15321 |      14753 |      17681 |      16230 |      17197 |      17631 |      17566 |      17709 |      17498
    num cache misses                 |      11910 |      15226 |      15775 |      15470 |      15162 |      15587 |      15616 |      12898 |      12516 |      15640 |      13969 |      15121 |      15592 |      15544 |      15608 |      15366
