                                     | Core 0     | Core 1    
  Instructions                       |   60121669 |   60121417
  Cycles                             |   40425616 |   40425616
  IPC                                |       1.49 |       1.49
  Time (ns)                          |   15197600 |   15197600
  Idle time (ns)                     |       -942 |       -942
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022010 |   10021985
  num incorrect                      |       1516 |       1493
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.03 |       0.02
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15289
    num misses                       |         52 |         50
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40233 |      40108
    num misses                       |        159 |        159
    miss rate                        |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        211 |        209
    num misses                       |        127 |        125
    miss rate                        |     60.19% |     59.81%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15289
    num cache misses                 |        955 |        945
    miss rate                        |      6.23% |      6.18%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |      40233 |      40108
    num cache misses                 |       1936 |       1934
    miss rate                        |      4.81% |      4.82%
    mpki                             |       0.03 |       0.03
  Cache L2                           |            |           
    num cache accesses               |       2936 |       2923
    num cache misses                 |       2565 |       2537
    miss rate                        |     87.36% |     86.79%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |       2611 |       2582
    num cache misses                 |       2477 |       2447
    miss rate                        |     94.87% |     94.77%
    mpki                             |       0.04 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |       4924 |          0
  average dram access latency (ns)   |      67.74 |        inf
  average dram queueing delay        |      14.31 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1128 |       1123
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
