                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      90488 |      90360 |      90204 |      90210 |      90257 |      90372 |      90148 |      90134 |      90171 |      90278 |      90578 |      90415 |      90403 |      90039 |      89993 |      90370
  Cycles                             |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550 |     844550
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500 |     317500
  Idle time (ns)                     |        -30 |          2 |          7 |          2 |        -32 |         49 |         73 |        -50 |        129 |         82 |        -82 |         82 |        -32 |        -50 |        -82 |         49
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19643 |      19626 |      19610 |      19611 |      19614 |      19626 |      19598 |      19595 |      19603 |      19617 |      19646 |      19631 |      19628 |      19576 |      19567 |      19626
  num incorrect                      |       1080 |       1069 |       1046 |       1046 |       1054 |       1069 |       1046 |       1046 |       1046 |       1057 |       1085 |       1072 |       1072 |       1046 |       1046 |       1069
  misprediction rate                 |      5.21% |      5.17% |      5.06% |      5.06% |      5.10% |      5.17% |      5.07% |      5.07% |      5.07% |      5.11% |      5.23% |      5.18% |      5.18% |      5.07% |      5.07% |      5.17%
  mpki                               |      11.94 |      11.83 |      11.60 |      11.60 |      11.68 |      11.83 |      11.60 |      11.60 |      11.60 |      11.71 |      11.98 |      11.86 |      11.86 |      11.62 |      11.62 |      11.83
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4852 |       4833 |       4798 |       4798 |       4808 |       4834 |       4798 |       4798 |       4798 |       4816 |       4859 |       4842 |       4840 |       4798 |       4798 |       4834
    num misses                       |         44 |         43 |         42 |         42 |         42 |         44 |         42 |         42 |         42 |         42 |         45 |         44 |         44 |         42 |         42 |         44
    miss rate                        |      0.91% |      0.89% |      0.88% |      0.88% |      0.87% |      0.91% |      0.88% |      0.88% |      0.88% |      0.87% |      0.93% |      0.91% |      0.91% |      0.88% |      0.88% |      0.91%
    mpki                             |       0.49 |       0.48 |       0.47 |       0.47 |       0.47 |       0.49 |       0.47 |       0.47 |       0.47 |       0.47 |       0.50 |       0.49 |       0.49 |       0.47 |       0.47 |       0.49
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69725 |      69661 |      69555 |      69569 |      69606 |      69665 |      69496 |      69479 |      69521 |      69626 |      69719 |      69688 |      69684 |      69364 |      69308 |      69663
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         65 |         64 |         63 |         63 |         63 |         65 |         63 |         63 |         63 |         63 |         66 |         65 |         65 |         63 |         63 |         65
    num misses                       |         65 |         64 |         63 |         63 |         63 |         65 |         63 |         63 |         63 |         63 |         66 |         65 |         65 |         63 |         63 |         65
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.72 |       0.71 |       0.70 |       0.70 |       0.70 |       0.72 |       0.70 |       0.70 |       0.70 |       0.70 |       0.73 |       0.72 |       0.72 |       0.70 |       0.70 |       0.72
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4852 |       4833 |       4798 |       4798 |       4808 |       4834 |       4798 |       4798 |       4798 |       4816 |       4859 |       4842 |       4840 |       4798 |       4798 |       4834
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
