                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      90616 |      90521 |      90453 |      90198
  Cycles                             |     252966 |     252966 |     252966 |     252966
  IPC                                |       0.36 |       0.36 |       0.36 |       0.36
  Time (ns)                          |      95100 |      95100 |      95100 |      95100
  Idle time (ns)                     |       -115 |        -72 |        -68 |        -77
  Idle time (%)                      |      -0.1% |      -0.1% |      -0.1% |      -0.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      19646 |      19646 |      19638 |      19610
  num incorrect                      |       1085 |       1085 |       1076 |       1046
  misprediction rate                 |      5.23% |      5.23% |      5.19% |      5.06%
  mpki                               |      11.97 |      11.99 |      11.90 |      11.60
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |       4859 |       4859 |       4850 |       4798
    num misses                       |         45 |         45 |         44 |         42
    miss rate                        |      0.93% |      0.93% |      0.91% |      0.88%
    mpki                             |       0.50 |       0.50 |       0.49 |       0.47
  D-TLB                              |            |            |            |           
    num accesses                     |      69737 |      69739 |      69708 |      69568
    num misses                       |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |         66 |         66 |         65 |         63
    num misses                       |         66 |         66 |         65 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.73 |       0.72 |       0.70
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |       4859 |       4859 |       4850 |       4798
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      69737 |      69739 |      69708 |      69568
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
