                                     | Core 0    
  Instructions                       |      90631
  Cycles                             |     311752
  IPC                                |       0.29
  Time (ns)                          |     117200
  Idle time (ns)                     |        -14
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      19646
  num incorrect                      |       1085
  misprediction rate                 |      5.23%
  mpki                               |      11.97
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       4859
    num misses                       |         45
    miss rate                        |      0.93%
    mpki                             |       0.50
  D-TLB                              |           
    num accesses                     |      69746
    num misses                       |         21
    miss rate                        |      0.03%
    mpki                             |       0.23
  L2 TLB                             |           
    num accesses                     |         66
    num misses                       |         66
    miss rate                        |    100.00%
    mpki                             |       0.73
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       4859
    num cache misses                 |        463
    miss rate                        |      9.53%
    mpki                             |       5.11
  Cache L1-D                         |           
    num cache accesses               |      69746
    num cache misses                 |        302
    miss rate                        |      0.43%
    mpki                             |       3.33
  Cache L2                           |           
    num cache accesses               |        790
    num cache misses                 |        762
    miss rate                        |     96.46%
    mpki                             |       8.41
  Cache L3                           |           
    num cache accesses               |        787
    num cache misses                 |        762
    miss rate                        |     96.82%
    mpki                             |       8.41
DRAM summary                         |           
  num dram accesses                  |        762
  average dram access latency (ns)   |      56.85
  average dram queueing delay        |       3.42
  average dram bandwidth utilization |      5.00%
Coherency Traffic                    |           
  num loads from dram                |        167
  num loads from dram cache          |          0
  num loads from remote cache        |          0
