                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |      90354 |      86182 |      85704 |      90296 |      87707 |      86905 |      90588 |      85713 |      87878 |      84834
  Cycles                             |    1236900 |    1236900 |    1236900 |    1236900 |    1236900 |    1236900 |    1236900 |    1236900 |    1236900 |    1236900
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |     465000 |     465000 |     465000 |     465000 |     465000 |     465000 |     465000 |     465000 |     465000 |     465000
  Idle time (ns)                     |        144 |         18 |         62 |        542 |        -32 |        -32 |        -44 |        -44 |         18 |         44
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.1% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19624 |      18805 |      18710 |      19621 |      19110 |      18950 |      19646 |      18711 |      19144 |      18535
  num incorrect                      |       1067 |       1046 |       1046 |       1058 |       1046 |       1046 |       1085 |       1046 |       1046 |       1046
  misprediction rate                 |      5.16% |      5.27% |      5.29% |      5.12% |      5.19% |      5.23% |      5.23% |      5.29% |      5.18% |      5.34%
  mpki                               |      11.81 |      12.14 |      12.20 |      11.72 |      11.93 |      12.04 |      11.98 |      12.20 |      11.90 |      12.33
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4832 |       4798 |       4798 |       4820 |       4798 |       4798 |       4859 |       4798 |       4798 |       4798
    num misses                       |         43 |         42 |         42 |         42 |         42 |         42 |         45 |         42 |         42 |         42
    miss rate                        |      0.89% |      0.88% |      0.88% |      0.87% |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.48 |       0.49 |       0.49 |       0.47 |       0.48 |       0.48 |       0.50 |       0.49 |       0.48 |       0.50
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69658 |      64733 |      64164 |      69633 |      66567 |      65606 |      69725 |      64171 |      66772 |      63119
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.24 |       0.25 |       0.23 |       0.24 |       0.24 |       0.23 |       0.25 |       0.24 |       0.25
