                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      80395 |      76155 |      90360 |      86947 |      87064 |      84337 |      60357 |      87053 |      87669 |      82722 |      82448 |      79524 |      80844 |      40085 |      90578 |      81528
  Cycles                             |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940 |    1752940
  IPC                                |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.03 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.02 |       0.05 |       0.05
  Time (ns)                          |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000 |     659000
  Idle time (ns)                     |         17 |         39 |       5398 |        287 |        140 |       -223 |        315 |        231 |        287 |        140 |         -9 |         -9 |        -45 |     236320 |       -223 |        202
  Idle time (%)                      |       0.0% |       0.0% |       0.8% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      35.9% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      17648 |      16800 |      19625 |      18958 |      18981 |      18436 |      13640 |      18979 |      19102 |      18113 |      18058 |      17473 |      17737 |       9612 |      19646 |      17874
  num incorrect                      |       1046 |       1046 |       1069 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1041 |       1085 |       1046
  misprediction rate                 |      5.60% |      5.86% |      5.17% |      5.23% |      5.22% |      5.37% |      7.12% |      5.22% |      5.19% |      5.46% |      5.48% |      5.65% |      5.57% |      9.77% |      5.23% |      5.53%
  mpki                               |      13.01 |      13.74 |      11.83 |      12.03 |      12.01 |      12.40 |      17.33 |      12.02 |      11.93 |      12.64 |      12.69 |      13.15 |      12.94 |      25.97 |      11.98 |      12.83
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4833 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4785 |       4859 |       4798
    num misses                       |         42 |         42 |         43 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         40 |         45 |         42
    miss rate                        |      0.88% |      0.88% |      0.89% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.84% |      0.93% |      0.88%
    mpki                             |       0.52 |       0.55 |       0.48 |       0.48 |       0.48 |       0.50 |       0.70 |       0.48 |       0.48 |       0.51 |       0.51 |       0.53 |       0.52 |       1.00 |       0.50 |       0.52
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
