                                     | Core 0     | Core 1    
  Instructions                       |      90547 |      90488
  Cycles                             |     111720 |     111720
  IPC                                |       0.81 |       0.81
  Time (ns)                          |      42000 |      42000
  Idle time (ns)                     |        -68 |        -35
  Idle time (%)                      |      -0.2% |      -0.1%
Branch predictor stats               |            |           
  num correct                        |      19646 |      19644
  num incorrect                      |       1085 |       1082
  misprediction rate                 |      5.23% |      5.22%
  mpki                               |      11.98 |      11.96
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |       4859 |       4854
    num misses                       |         45 |         44
    miss rate                        |      0.93% |      0.91%
    mpki                             |       0.50 |       0.49
  D-TLB                              |            |           
    num accesses                     |      69704 |      69731
    num misses                       |         21 |         21
    miss rate                        |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23
  L2 TLB                             |            |           
    num accesses                     |         66 |         65
    num misses                       |         66 |         65
    miss rate                        |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |       4859 |       4854
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |      69704 |      69731
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L2                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |          0 |          0
  average dram access latency (ns)   |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          0 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
