                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      90190 |      90158 |      90557 |      90438 |      90474 |      90283 |      90291 |      90230
  Cycles                             |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500
  Idle time (ns)                     |         30 |         -4 |        -29 |         96 |        -29 |         30 |         12 |         -4
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.1% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19607 |      19601 |      19646 |      19636 |      19638 |      19619 |      19621 |      19613
  num incorrect                      |       1046 |       1046 |       1085 |       1073 |       1078 |       1057 |       1058 |       1046
  misprediction rate                 |      5.06% |      5.07% |      5.23% |      5.18% |      5.20% |      5.11% |      5.12% |      5.06%
  mpki                               |      11.60 |      11.60 |      11.98 |      11.86 |      11.92 |      11.71 |      11.72 |      11.59
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4859 |       4847 |       4851 |       4817 |       4819 |       4801
    num misses                       |         42 |         42 |         45 |         44 |         44 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.93% |      0.91% |      0.91% |      0.87% |      0.87% |      0.87%
    mpki                             |       0.47 |       0.47 |       0.50 |       0.49 |       0.49 |       0.47 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      69547 |      69512 |      69708 |      69702 |      69669 |      69628 |      69631 |      69593
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         66 |         65 |         65 |         63 |         63 |         63
    num misses                       |         63 |         63 |         66 |         65 |         65 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.70 |       0.70 |       0.73 |       0.72 |       0.72 |       0.70 |       0.70 |       0.70
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4798 |       4859 |       4847 |       4851 |       4817 |       4819 |       4801
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      69547 |      69512 |      69708 |      69702 |      69669 |      69628 |      69631 |      69593
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
