                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |      88839 |      73810 |      84265 |      71894 |      73000 |      71535 |      90523 |      81950 |      74935 |      74115 |      68289
  Cycles                             |     722988 |     722988 |     722988 |     722988 |     722988 |     722988 |     722988 |     722988 |     722988 |     722988 |     722988
  IPC                                |       0.12 |       0.10 |       0.12 |       0.10 |       0.10 |       0.10 |       0.13 |       0.11 |       0.10 |       0.10 |       0.09
  Time (ns)                          |     271800 |     271800 |     271800 |     271800 |     271800 |     271800 |     271800 |     271800 |     271800 |     271800 |     271800
  Idle time (ns)                     |        -68 |        -75 |         96 |        162 |         72 |         48 |        -96 |        162 |        -96 |         48 |         96
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.1% |       0.0% |       0.0% |      -0.0% |       0.1% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19337 |      16331 |      18422 |      15947 |      16169 |      15876 |      19646 |      17959 |      16556 |      16392 |      15226
  num incorrect                      |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1085 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.13% |      6.02% |      5.37% |      6.16% |      6.08% |      6.18% |      5.23% |      5.50% |      5.94% |      6.00% |      6.43%
  mpki                               |      11.77 |      14.17 |      12.41 |      14.55 |      14.33 |      14.62 |      11.99 |      12.76 |      13.96 |      14.11 |      15.32
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4859 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         42 |         42 |         42 |         42 |         45 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.47 |       0.57 |       0.50 |       0.58 |       0.58 |       0.59 |       0.50 |       0.51 |       0.56 |       0.57 |       0.62
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      67926 |      49879 |      62438 |      47590 |      48920 |      47161 |      69696 |      59660 |      51237 |      50258 |      43264
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.05%
    mpki                             |       0.24 |       0.28 |       0.25 |       0.29 |       0.29 |       0.29 |       0.23 |       0.26 |       0.28 |       0.28 |       0.31
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         63 |         63 |         63 |         63 |         66 |         63 |         63 |         63 |         63
    num misses                       |         63 |         63 |         63 |         63 |         63 |         63 |         66 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.71 |       0.85 |       0.75 |       0.88 |       0.86 |       0.88 |       0.73 |       0.77 |       0.84 |       0.85 |       0.92
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4859 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1078 |       1515 |       1061 |       1524 |       1512 |       1470 |       1036 |       1057 |       1466 |       1540 |       1425
    miss rate                        |     22.47% |     31.58% |     22.11% |     31.76% |     31.51% |     30.64% |     21.32% |     22.03% |     30.55% |     32.10% |     29.70%
    mpki                             |      12.13 |      20.53 |      12.59 |      21.20 |      20.71 |      20.55 |      11.44 |      12.90 |      19.56 |      20.78 |      20.87
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      67926 |      49879 |      62438 |      47590 |      48920 |      47161 |      69696 |      59660 |      51237 |      50258 |      43264
    num cache misses                 |      12194 |      12563 |      12194 |      12513 |      12519 |      12458 |      11773 |      12171 |      12505 |      12545 |      11267
    miss rate                        |     17.95% |     25.19% |     19.53% |     26.29% |     25.59% |     26.42% |     16.89% |     20.40% |     24.41% |     24.96% |     26.04%
    mpki                             |     137.26 |     170.21 |     144.71 |     174.05 |     171.49 |     174.15 |     130.06 |     148.52 |     166.88 |     169.26 |     164.99
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13291 |      14095 |      13271 |      14055 |      14048 |      13947 |      12830 |      13244 |      13989 |      14105 |      12711
    num cache misses                 |      12650 |      12829 |      12701 |      12747 |      12789 |      12745 |      12271 |      12640 |      12764 |      12768 |      11513
    miss rate                        |     95.18% |     91.02% |     95.70% |     90.69% |     91.04% |     91.38% |     95.64% |     95.44% |     91.24% |     90.52% |     90.58%
    mpki                             |     142.39 |     173.81 |     150.73 |     177.30 |     175.19 |     178.16 |     135.56 |     154.24 |     170.33 |     172.27 |     168.59
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12671 |      12848 |      12719 |      12768 |      12809 |      12767 |      12294 |      12659 |      12784 |      12788 |      11534
    num cache misses                 |        717 |        717 |        718 |        723 |        718 |        722 |        763 |        718 |        718 |        719 |        722
    miss rate                        |      5.66% |      5.58% |      5.65% |      5.66% |      5.61% |      5.66% |      6.21% |      5.67% |      5.62% |      5.62% |      6.26%
    mpki                             |       8.07 |       9.71 |       8.52 |      10.06 |       9.84 |      10.09 |       8.43 |       8.76 |       9.58 |       9.70 |      10.57
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       8048 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     109.82 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      56.39 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     24.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        171 |        180 |        175 |        180 |        174 |        179 |        185 |        172 |        175 |        179 |        179
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
