                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      90515 |      90265 |      40955 |      89700
  Cycles                             |     307230 |     307230 |     307230 |     307230
  IPC                                |       0.29 |       0.29 |       0.13 |       0.29
  Time (ns)                          |     115500 |     115500 |     115500 |     115500
  Idle time (ns)                     |       -105 |        -45 |        -75 |       -105
  Idle time (%)                      |      -0.1% |      -0.0% |      -0.1% |      -0.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      19646 |      19615 |       9761 |      19509
  num incorrect                      |       1085 |       1056 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.11% |      9.68% |      5.09%
  mpki                               |      11.99 |      11.70 |      25.54 |      11.66
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |       4859 |       4812 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.87% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.47 |       1.03 |       0.47
  D-TLB                              |            |            |            |           
    num accesses                     |      69689 |      69596 |      10468 |      68957
    num misses                       |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.20% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.51 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.70 |       1.54 |       0.70
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |       4859 |       4812 |       4798 |       4798
    num cache misses                 |        633 |        694 |        659 |        650
    miss rate                        |     13.03% |     14.42% |     13.73% |     13.55%
    mpki                             |       6.99 |       7.69 |      16.09 |       7.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      69689 |      69596 |      10468 |      68957
    num cache misses                 |        487 |        487 |        485 |        469
    miss rate                        |      0.70% |      0.70% |      4.63% |      0.68%
    mpki                             |       5.38 |       5.40 |      11.84 |       5.23
  Cache L2                           |            |            |            |           
    num cache accesses               |       1140 |       1199 |       1162 |       1138
    num cache misses                 |        821 |        790 |        785 |        784
    miss rate                        |     72.02% |     65.89% |     67.56% |     68.89%
    mpki                             |       9.07 |       8.75 |      19.17 |       8.74
  Cache L3                           |            |            |            |           
    num cache accesses               |        844 |        810 |        805 |        804
    num cache misses                 |        755 |        722 |        712 |        712
    miss rate                        |     89.45% |     89.14% |     88.45% |     88.56%
    mpki                             |       8.34 |       8.00 |      17.38 |       7.94
DRAM summary                         |            |            |            |           
  num dram accesses                  |       2901 |          0 |          0 |          0
  average dram access latency (ns)   |      92.07 |        inf |        inf |        inf
  average dram queueing delay        |      38.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     21.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        164 |        162 |        160 |        158
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
