                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28759901 |   28759643 |   28759622 |   28742571
  Cycles                             |   73906504 |   73906504 |   73906504 |   73906504
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   27784400 |   27784400 |   27784400 |   27784400
  Idle time (ns)                     |       -109 |        -18 |        701 |       -109
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059719 |    1059688 |    1059685 |    1059329
  num incorrect                      |       8006 |       7980 |       7979 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2876325 |    2876279 |    2876277 |    2874928
    num misses                       |         63 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15778122 |   15778037 |   15778009 |   15769171
    num misses                       |       6344 |       6344 |       6340 |       6294
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |       6407 |       6405 |       6401 |       6355
    num misses                       |        333 |        331 |        327 |        320
    miss rate                        |      5.20% |      5.17% |      5.11% |      5.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2876325 |    2876279 |    2876277 |    2874928
    num cache misses                 |     136406 |     136423 |     137459 |     138077
    miss rate                        |      4.74% |      4.74% |      4.78% |      4.80%
    mpki                             |       4.74 |       4.74 |       4.78 |       4.80
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15778122 |   15778037 |   15778009 |   15769171
    num cache misses                 |      99345 |      99685 |      99733 |      99051
    miss rate                        |      0.63% |      0.63% |      0.63% |      0.63%
    mpki                             |       3.45 |       3.47 |       3.47 |       3.45
  Cache L2                           |            |            |            |           
    num cache accesses               |     235775 |     236131 |     237214 |     237151
    num cache misses                 |      63834 |      63922 |      63902 |      63389
    miss rate                        |     27.07% |     27.07% |     26.94% |     26.73%
    mpki                             |       2.22 |       2.22 |       2.22 |       2.21
  Cache L3                           |            |            |            |           
    num cache accesses               |      63871 |      63955 |      63933 |      63418
    num cache misses                 |      13885 |      13851 |      13850 |      13819
    miss rate                        |     21.74% |     21.66% |     21.66% |     21.79%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55405 |          0 |          0 |          0
  average dram access latency (ns)   |      56.60 |        inf |        inf |        inf
  average dram queueing delay        |       3.17 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4881 |       4850 |       4843 |       4836
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
