                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28759949 |   28097456 |   28119314 |   28116436 |   28055776 |   28050597 |   28033439 |   28071838 |   28010969 |   28013545 |   28043743
  Cycles                             |  175702842 |  175702842 |  175702842 |  175702842 |  175702842 |  175702842 |  175702842 |  175702842 |  175702842 |  175702842 |  175702842
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |   66053700 |   66053700 |   66053700 |   66053700 |   66053700 |   66053700 |   66053700 |   66053700 |   66053700 |   66053700 |   66053700
  Idle time (ns)                     |        -38 |        135 |        -38 |        116 |         61 |        165 |         16 |         56 |        248 |        194 |         16
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1046753 |    1047180 |    1047123 |    1045941 |    1045839 |    1045506 |    1046253 |    1045067 |    1045118 |    1045706
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.76% |      0.75% |      0.76% |      0.76% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2825109 |    2826798 |    2826575 |    2821891 |    2821490 |    2820167 |    2823130 |    2818430 |    2818630 |    2820962
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778135 |   15433886 |   15445233 |   15443746 |   15412224 |   15409534 |   15400619 |   15420572 |   15388938 |   15390279 |   15405975
    num misses                       |       6344 |       4867 |       4918 |       4910 |       4783 |       4770 |       4729 |       4813 |       4676 |       4684 |       4754
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
