                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28571451 |   28526400 |   28567209 |   28559262 |   28583167 |   28597970 |   28593015 |   28759921 |   28621029 |   28644445 |   28655020 |   28652983 |   28659170 |   28575651 |   28712306 |   28723923
  Cycles                             |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490 |  312886490
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500 |  117626500
  Idle time (ns)                     |        291 |        270 |        423 |        291 |        254 |        153 |        212 |        -26 |         89 |        -26 |        254 |        210 |        553 |        521 |        191 |        626
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1055992 |    1055115 |    1055911 |    1055756 |    1056221 |    1056509 |    1056414 |    1059719 |    1056960 |    1057415 |    1057622 |    1057583 |    1057703 |    1056075 |    1058738 |    1058965
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2861712 |    2858234 |    2861386 |    2860772 |    2862617 |    2863760 |    2863379 |    2876325 |    2865542 |    2867348 |    2868166 |    2868010 |    2868486 |    2862038 |    2872589 |    2873487
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15680226 |   15656819 |   15678027 |   15673898 |   15686320 |   15694009 |   15691440 |   15778122 |   15706001 |   15718147 |   15723665 |   15722606 |   15725817 |   15682417 |   15753437 |   15759471
    num misses                       |       5920 |       5816 |       5911 |       5892 |       5948 |       5981 |       5970 |       6344 |       6025 |       6078 |       6101 |       6097 |       6114 |       5929 |       6224 |       6250
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.21 |       0.20 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5981 |       5877 |       5972 |       5953 |       6009 |       6042 |       6031 |       6407 |       6086 |       6139 |       6162 |       6158 |       6175 |       5990 |       6285 |       6311
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        318 |        319
