                                     | Core 0     | Core 1    
  Instructions                       |   28759768 |   28759893
  Cycles                             |   64642788 |   64642788
  IPC                                |       0.44 |       0.44
  Time (ns)                          |   24301800 |   24301800
  Idle time (ns)                     |        -51 |       -528
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    1059702 |    1059719
  num incorrect                      |       7993 |       8006
  misprediction rate                 |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2876307 |    2876325
    num misses                       |         63 |         63
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   15778103 |   15778121
    num misses                       |       6344 |       6344
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22
  L2 TLB                             |            |           
    num accesses                     |       6407 |       6407
    num misses                       |        333 |        333
    miss rate                        |      5.20% |      5.20%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2876307 |    2876325
    num cache misses                 |       1581 |       1588
    miss rate                        |      0.05% |      0.06%
    mpki                             |       0.05 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |   15778103 |   15778121
    num cache misses                 |      59470 |      59485
    miss rate                        |      0.38% |      0.38%
    mpki                             |       2.07 |       2.07
  Cache L2                           |            |           
    num cache accesses               |      61077 |      61099
    num cache misses                 |      60488 |      60522
    miss rate                        |     99.04% |     99.06%
    mpki                             |       2.10 |       2.10
  Cache L3                           |            |           
    num cache accesses               |      60592 |      60629
    num cache misses                 |      13867 |      13885
    miss rate                        |     22.89% |     22.90%
    mpki                             |       0.48 |       0.48
DRAM summary                         |            |           
  num dram accesses                  |      27752 |          0
  average dram access latency (ns)   |      55.99 |        inf
  average dram queueing delay        |       2.56 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       4545 |       4553
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
