                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759901 |   28721829 |   28497136 |   28535156 |   28466210
  Cycles                             |   80582572 |   80582572 |   80582572 |   80582572 |   80582572
  IPC                                |       0.36 |       0.36 |       0.35 |       0.35 |       0.35
  Time (ns)                          |   30294200 |   30294200 |   30294200 |   30294200 |   30294200
  Idle time (ns)                     |        -20 |         52 |        -20 |         54 |         74
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1058924 |    1054544 |    1055285 |    1053942
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2873325 |    2855974 |    2858909 |    2853587
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778116 |   15758386 |   15641602 |   15661366 |   15625539
    num misses                       |       6344 |       6246 |       5750 |       5835 |       5688
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.20 |       0.20 |       0.20
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       6307 |       5811 |       5896 |       5749
    num misses                       |        333 |        319 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.06% |      5.44% |      5.36% |      5.50%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2873325 |    2855974 |    2858909 |    2853587
    num cache misses                 |     487242 |     507679 |     523786 |     530080 |     531228
    miss rate                        |     16.94% |     17.67% |     18.34% |     18.54% |     18.62%
    mpki                             |      16.94 |      17.68 |      18.38 |      18.58 |      18.66
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778116 |   15758386 |   15641602 |   15661366 |   15625539
    num cache misses                 |     121016 |     121996 |     120055 |     119641 |     118876
    miss rate                        |      0.77% |      0.77% |      0.77% |      0.76% |      0.76%
    mpki                             |       4.21 |       4.25 |       4.21 |       4.19 |       4.18
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     608281 |     629696 |     643862 |     649743 |     650126
    num cache misses                 |      97336 |      96860 |      94682 |      95504 |      94711
    miss rate                        |     16.00% |     15.38% |     14.71% |     14.70% |     14.57%
    mpki                             |       3.38 |       3.37 |       3.32 |       3.35 |       3.33
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      97374 |      96891 |      94721 |      95536 |      94743
    num cache misses                 |      13892 |      13828 |      13831 |      13831 |      13831
    miss rate                        |     14.27% |     14.27% |     14.60% |     14.48% |     14.60%
    mpki                             |       0.48 |       0.48 |       0.49 |       0.48 |       0.49
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69428 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.03 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.61 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       6508 |       6477 |       6558 |       6547 |       6520
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
