                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   28729171 |   28652950 |   28652364 |   28759950 |   28682399 |   28667298 |   28701037 |   28685215
  Cycles                             |  104215608 |  104215608 |  104215608 |  104215608 |  104215608 |  104215608 |  104215608 |  104215608
  IPC                                |       0.28 |       0.27 |       0.27 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Time (ns)                          |   39178800 |   39178800 |   39178800 |   39178800 |   39178800 |   39178800 |   39178800 |   39178800
  Idle time (ns)                     |         33 |         51 |         33 |        -32 |         28 |          6 |         98 |        -32
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1059067 |    1057582 |    1057569 |    1059719 |    1058156 |    1057862 |    1058519 |    1058210
  num incorrect                      |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2873892 |    2868007 |    2867960 |    2876325 |    2870281 |    2869115 |    2871720 |    2870498
    num misses                       |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15762204 |   15722592 |   15722282 |   15778135 |   15737896 |   15730045 |   15747583 |   15739345
    num misses                       |       6263 |       6097 |       6096 |       6344 |       6167 |       6131 |       6206 |       6173
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.22 |       0.22 |       0.21 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       6324 |       6158 |       6157 |       6407 |       6228 |       6192 |       6267 |       6234
    num misses                       |        319 |        316 |        316 |        333 |        316 |        316 |        317 |        316
    miss rate                        |      5.04% |      5.13% |      5.13% |      5.20% |      5.07% |      5.10% |      5.06% |      5.07%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2873892 |    2868007 |    2867960 |    2876325 |    2870281 |    2869115 |    2871720 |    2870498
    num cache misses                 |    1271552 |    1291484 |    1287845 |    1272856 |    1283761 |    1288217 |    1277806 |    1278569
    miss rate                        |     44.24% |     45.03% |     44.90% |     44.25% |     44.73% |     44.90% |     44.50% |     44.54%
    mpki                             |      44.26 |      45.07 |      44.95 |      44.26 |      44.76 |      44.94 |      44.52 |      44.57
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15762204 |   15722592 |   15722282 |   15778135 |   15737896 |   15730045 |   15747583 |   15739345
    num cache misses                 |     287041 |     289424 |     289020 |     283437 |     291629 |     288546 |     289927 |     290256
    miss rate                        |      1.82% |      1.84% |      1.84% |      1.80% |      1.85% |      1.83% |      1.84% |      1.84%
    mpki                             |       9.99 |      10.10 |      10.09 |       9.86 |      10.17 |      10.07 |      10.10 |      10.12
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1558653 |    1580968 |    1576923 |    1556367 |    1575451 |    1576824 |    1567794 |    1568887
    num cache misses                 |     186633 |     183205 |     184275 |     184563 |     190092 |     186131 |     188509 |     187153
    miss rate                        |     11.97% |     11.59% |     11.69% |     11.86% |     12.07% |     11.80% |     12.02% |     11.93%
    mpki                             |       6.50 |       6.39 |       6.43 |       6.42 |       6.63 |       6.49 |       6.57 |       6.52
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     186700 |     183270 |     184340 |     184644 |     190158 |     186196 |     188577 |     187222
    num cache misses                 |      14660 |      14625 |      14625 |      14759 |      14624 |      14627 |      14627 |      14635
    miss rate                        |      7.85% |      7.98% |      7.93% |      7.99% |      7.69% |      7.86% |      7.76% |      7.82%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     124460 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.70 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       9497 |       9479 |       9469 |       9562 |       9510 |       9504 |       9496 |       9486
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
