                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   28736279 |   28726363 |   28753463 |   28757049 |   28699345 |   28752107 |   28759917 |   28638030 |   28642878 |   28659202 |   28628277 |   28642748
  Cycles                             |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098 |  206031098
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300 |   77455300
  Idle time (ns)                     |        175 |         45 |        -41 |        134 |         25 |        -43 |       -170 |        -11 |       -170 |        110 |         20 |        239
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059206 |    1059013 |    1059541 |    1059610 |    1058487 |    1059514 |    1059719 |    1057290 |    1057385 |    1057704 |    1057101 |    1057383
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2874442 |    2873676 |    2875768 |    2876044 |    2871590 |    2875663 |    2876325 |    2866853 |    2867228 |    2868490 |    2866102 |    2867219
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15765887 |   15760742 |   15774818 |   15776683 |   15746691 |   15774106 |   15778122 |   15714831 |   15717353 |   15725839 |   15709768 |   15717288
    num misses                       |       6280 |       6258 |       6321 |       6327 |       6204 |       6317 |       6344 |       6062 |       6074 |       6114 |       6039 |       6074
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6341 |       6319 |       6382 |       6388 |       6265 |       6378 |       6407 |       6123 |       6135 |       6175 |       6100 |       6135
    num misses                       |        320 |        319 |        321 |        321 |        317 |        321 |        333 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.05% |      5.05% |      5.03% |      5.03% |      5.06% |      5.03% |      5.20% |      5.16% |      5.15% |      5.12% |      5.18% |      5.15%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2874442 |    2873676 |    2875768 |    2876044 |    2871590 |    2875663 |    2876325 |    2866853 |    2867228 |    2868490 |    2866102 |    2867219
    num cache misses                 |    1695446 |    1676270 |    1672398 |    1679777 |    1686562 |    1673282 |    1674229 |    1680100 |    1682542 |    1683956 |    1677538 |    1687737
    miss rate                        |     58.98% |     58.33% |     58.15% |     58.41% |     58.73% |     58.19% |     58.21% |     58.60% |     58.68% |     58.71% |     58.53% |     58.86%
    mpki                             |      59.00 |      58.35 |      58.16 |      58.41 |      58.77 |      58.20 |      58.21 |      58.67 |      58.74 |      58.76 |      58.60 |      58.92
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15765887 |   15760742 |   15774818 |   15776683 |   15746691 |   15774106 |   15778122 |   15714831 |   15717353 |   15725839 |   15709768 |   15717288
    num cache misses                 |    2427387 |    2418749 |    2428270 |    2415928 |    2418844 |    2418013 |    2415580 |    2426892 |    2434602 |    2428454 |    2431490 |    2432646
