                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   28722365 |   28720158 |   28744999 |   28748013 |   28759941 |   28682280 |   28686983 |   28641380 |   28652924 |   28730635 |   28638387 |   28689672 |   28708318
  Cycles                             |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012 |  226973012
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200 |   85328200
  Idle time (ns)                     |        162 |        -25 |         99 |        -30 |       -147 |        -57 |        110 |         72 |         99 |         48 |         48 |        110 |       -147
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1058935 |    1058892 |    1059375 |    1059435 |    1059719 |    1058153 |    1058246 |    1057356 |    1057582 |    1059095 |    1057297 |    1058297 |    1058661
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
