                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   28390727 |   28391744 |   28399724 |   28363752 |   28403038 |   28358928 |   28430055 |   28484678 |   28404956 |   28401946 |   28759972 |   28360991 |   28462840 |   28534873 |   28576886
  Cycles                             |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416 |  269797416
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600 |  101427600
  Idle time (ns)                     |         -5 |         47 |        369 |        -78 |        182 |        360 |        296 |        116 |        159 |        346 |        -78 |         -5 |        268 |        250 |        159
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1052469 |    1052489 |    1052646 |    1051944 |    1052710 |    1051849 |    1053236 |    1054301 |    1052747 |    1052689 |    1059719 |    1051891 |    1053876 |    1055280 |    1056098
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
