                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   28759905 |   28736673 |   28716319 |   28691914 |   28743410 |   28719506
  Cycles                             |   85628858 |   85628858 |   85628858 |   85628858 |   85628858 |   85628858
  IPC                                |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
  Time (ns)                          |   32191300 |   32191300 |   32191300 |   32191300 |   32191300 |   32191300
  Idle time (ns)                     |        -41 |         10 |        -41 |         10 |        -44 |         45
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1059719 |    1059213 |    1058817 |    1058340 |    1059343 |    1058880
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2876325 |    2874471 |    2872900 |    2871014 |    2874984 |    2873147
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   15778116 |   15766101 |   15755510 |   15742835 |   15769548 |   15757181
    num misses                       |       6344 |       6281 |       6233 |       6187 |       6295 |       6240
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6407 |       6342 |       6294 |       6248 |       6356 |       6301
    num misses                       |        333 |        320 |        318 |        316 |        320 |        318
    miss rate                        |      5.20% |      5.05% |      5.05% |      5.06% |      5.03% |      5.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2874471 |    2872900 |    2871014 |    2874984 |    2873147
    num cache misses                 |     852490 |     861199 |     859260 |     859120 |     848982 |     855003
    miss rate                        |     29.64% |     29.96% |     29.91% |     29.92% |     29.53% |     29.76%
    mpki                             |      29.64 |      29.97 |      29.92 |      29.94 |      29.54 |      29.77
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   15778116 |   15766101 |   15755510 |   15742835 |   15769548 |   15757181
    num cache misses                 |      94824 |      94967 |      93911 |      93533 |      94772 |      94409
    miss rate                        |      0.60% |      0.60% |      0.60% |      0.59% |      0.60% |      0.60%
    mpki                             |       3.30 |       3.30 |       3.27 |       3.26 |       3.30 |       3.29
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     947383 |     956272 |     953234 |     952715 |     943815 |     949473
    num cache misses                 |     113171 |     113847 |     113426 |     112256 |     113782 |     113548
    miss rate                        |     11.95% |     11.91% |     11.90% |     11.78% |     12.06% |     11.96%
    mpki                             |       3.94 |       3.96 |       3.95 |       3.91 |       3.96 |       3.95
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     113246 |     113955 |     113492 |     112321 |     113847 |     113616
    num cache misses                 |      14705 |      14592 |      14617 |      14557 |      14628 |      14427
    miss rate                        |     12.99% |     12.81% |     12.88% |     12.96% |     12.85% |     12.70%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.50
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      92064 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.16 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       7435 |       7383 |       7368 |       7317 |       7419 |       7244
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
