                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   28712607 |   28719278 |   28721977 |   28740385 |   28751750 |   28753198 |   28759897
  Cycles                             |   93963436 |   93963436 |   93963436 |   93963436 |   93963436 |   93963436 |   93963436
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   35324600 |   35324600 |   35324600 |   35324600 |   35324600 |   35324600 |   35324600
  Idle time (ns)                     |        128 |        -13 |         78 |         68 |         94 |        105 |        -13
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    1058745 |    1058875 |    1058927 |    1059286 |    1059507 |    1059536 |    1059719
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    2872614 |    2873129 |    2873337 |    2874758 |    2875636 |    2875748 |    2876325
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   15753598 |   15757053 |   15758459 |   15768030 |   15773938 |   15774690 |   15778112
    num misses                       |       6227 |       6239 |       6246 |       6290 |       6317 |       6320 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       6288 |       6300 |       6307 |       6351 |       6378 |       6381 |       6407
    num misses                       |        318 |        318 |        319 |        320 |        321 |        321 |        333
    miss rate                        |      5.06% |      5.05% |      5.06% |      5.04% |      5.03% |      5.03% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    2872614 |    2873129 |    2873337 |    2874758 |    2875636 |    2875748 |    2876325
    num cache misses                 |    1111123 |    1103539 |    1107620 |    1099866 |    1103406 |    1089506 |    1094415
    miss rate                        |     38.68% |     38.41% |     38.55% |     38.26% |     38.37% |     37.89% |     38.05%
    mpki                             |      38.70 |      38.43 |      38.56 |      38.27 |      38.38 |      37.89 |      38.05
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   15753598 |   15757053 |   15758459 |   15768030 |   15773938 |   15774690 |   15778112
    num cache misses                 |     129945 |     129800 |     130338 |     130817 |     130535 |     127903 |     129279
    miss rate                        |      0.82% |      0.82% |      0.83% |      0.83% |      0.83% |      0.81% |      0.82%
    mpki                             |       4.53 |       4.52 |       4.54 |       4.55 |       4.54 |       4.45 |       4.50
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    1241129 |    1233400 |    1238021 |    1230742 |    1234005 |    1217475 |    1223763
    num cache misses                 |     134768 |     133137 |     134534 |     135401 |     136394 |     131537 |     133324
    miss rate                        |     10.86% |     10.79% |     10.87% |     11.00% |     11.05% |     10.80% |     10.89%
    mpki                             |       4.69 |       4.64 |       4.68 |       4.71 |       4.74 |       4.57 |       4.64
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     134831 |     133200 |     134599 |     135464 |     136461 |     131609 |     133396
    num cache misses                 |      14633 |      14650 |      14653 |      14652 |      14655 |      14655 |      14721
    miss rate                        |     10.85% |     11.00% |     10.89% |     10.82% |     10.74% |     11.14% |     11.04%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |     108622 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.53 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       8698 |       8675 |       8691 |       8713 |       8679 |       8725 |       8729
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
