                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28759949 |   28718717 |   28544597 |   28566875 |   28340287 |   28321339 |   28249229 |   28223571 |   28245088
  Cycles                             |  124148850 |  124148850 |  124148850 |  124148850 |  124148850 |  124148850 |  124148850 |  124148850 |  124148850
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   46672500 |   46672500 |   46672500 |   46672500 |   46672500 |   46672500 |   46672500 |   46672500 |   46672500
  Idle time (ns)                     |        -10 |        -10 |        135 |         52 |         52 |         86 |        105 |         75 |         24
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1058863 |    1055469 |    1055904 |    1051487 |    1051118 |    1049712 |    1049211 |    1049630
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2873085 |    2859639 |    2861360 |    2843862 |    2842399 |    2836830 |    2834848 |    2836509
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
