                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   28708983 |   28739461 |   28723360 |   28746861 |   28735392 |   28691713 |   28748681 |   28753354 |   28759982 |   28743313
  Cycles                             |  121200240 |  121200240 |  121200240 |  121200240 |  121200240 |  121200240 |  121200240 |  121200240 |  121200240 |  121200240
  IPC                                |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Time (ns)                          |   45564000 |   45564000 |   45564000 |   45564000 |   45564000 |   45564000 |   45564000 |   45564000 |   45564000 |   45564000
  Idle time (ns)                     |         -3 |        -15 |        -83 |         33 |         51 |         51 |         28 |         13 |       -104 |        -37
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1058674 |    1059269 |    1058954 |    1059413 |    1059189 |    1058336 |    1059448 |    1059539 |    1059719 |    1059343
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2872334 |    2874688 |    2873444 |    2875260 |    2874373 |    2870998 |    2875399 |    2875760 |    2876325 |    2874985
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15751712 |   15767550 |   15759166 |   15771399 |   15765435 |   15742730 |   15772342 |   15774771 |   15778151 |   15769553
    num misses                       |       6218 |       6289 |       6250 |       6305 |       6277 |       6187 |       6309 |       6320 |       6344 |       6295
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6279 |       6350 |       6311 |       6366 |       6338 |       6248 |       6370 |       6381 |       6407 |       6356
    num misses                       |        318 |        320 |        319 |        321 |        320 |        316 |        321 |        321 |        333 |        320
    miss rate                        |      5.06% |      5.04% |      5.05% |      5.04% |      5.05% |      5.06% |      5.04% |      5.03% |      5.20% |      5.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
