                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28757728 |   28193770 |   28004132 |   28011439 |   28033315 |   28759925 |   27997620 |   27959877 |   28046039 |   27985546 |   28202328
  Cycles                             |  140589512 |  140589512 |  140589512 |  140589512 |  140589512 |  140589512 |  140589512 |  140589512 |  140589512 |  140589512 |  140589512
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   52853200 |   52853200 |   52853200 |   52853200 |   52853200 |   52853200 |   52853200 |   52853200 |   52853200 |   52853200 |   52853200
  Idle time (ns)                     |         10 |        -22 |        105 |        -38 |         47 |        -71 |         47 |        -38 |        -71 |         97 |         -6
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059624 |    1048631 |    1044933 |    1045076 |    1045503 |    1059719 |    1044806 |    1044072 |    1045752 |    1044572 |    1048797
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.76% |      0.76% |      0.76% |      0.75% |      0.76% |      0.76% |      0.75% |      0.76% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876097 |    2832548 |    2817901 |    2818467 |    2820156 |    2876325 |    2817398 |    2814486 |    2821140 |    2816467 |    2833207
    num misses                       |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15777044 |   15483946 |   15385382 |   15389185 |   15400553 |   15778124 |   15381999 |   15362387 |   15407158 |   15375726 |   15488390
    num misses                       |       6328 |       5081 |       4662 |       4676 |       4729 |       6344 |       4645 |       4571 |       4759 |       4621 |       5099
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.18 |       0.17 |       0.17 |       0.17 |       0.22 |       0.17 |       0.16 |       0.17 |       0.17 |       0.18
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6389 |       5142 |       4723 |       4737 |       4790 |       6407 |       4706 |       4632 |       4820 |       4682 |       5160
    num misses                       |        321 |        316 |        316 |        316 |        316 |        333 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.02% |      6.15% |      6.69% |      6.67% |      6.60% |      5.20% |      6.71% |      6.82% |      6.56% |      6.75% |      6.12%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876097 |    2832548 |    2817901 |    2818467 |    2820156 |    2876325 |    2817398 |    2814486 |    2821140 |    2816467 |    2833207
    num cache misses                 |    1513749 |    1570003 |    1590261 |    1576232 |    1574046 |    1501223 |    1584081 |    1561681 |    1568861 |    1551872 |    1565004
    miss rate                        |     52.63% |     55.43% |     56.43% |     55.93% |     55.81% |     52.19% |     56.22% |     55.49% |     55.61% |     55.10% |     55.24%
    mpki                             |      52.64 |      55.69 |      56.79 |      56.27 |      56.15 |      52.20 |      56.58 |      55.85 |      55.94 |      55.45 |      55.49
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15777044 |   15483946 |   15385382 |   15389185 |   15400553 |   15778124 |   15381999 |   15362387 |   15407158 |   15375726 |   15488390
    num cache misses                 |    1447654 |    1442948 |    1451109 |    1447903 |    1439033 |    1453304 |    1449083 |    1449959 |    1439645 |    1443026 |    1454504
    miss rate                        |      9.18% |      9.32% |      9.43% |      9.41% |      9.34% |      9.21% |      9.42% |      9.44% |      9.34% |      9.39% |      9.39%
    mpki                             |      50.34 |      51.18 |      51.82 |      51.69 |      51.33 |      50.53 |      51.76 |      51.86 |      51.33 |      51.56 |      51.57
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2962283 |    3013729 |    3042092 |    3024860 |    3013780 |    2955442 |    3033879 |    3012359 |    3009253 |    2995620 |    3020412
    num cache misses                 |    2042729 |    2080393 |    2111831 |    2111167 |    2103229 |    2079691 |    2116942 |    2124888 |    2103405 |    2121784 |    2120289
    miss rate                        |     68.96% |     69.03% |     69.42% |     69.79% |     69.79% |     70.37% |     69.78% |     70.54% |     69.90% |     70.83% |     70.20%
    mpki                             |      71.03 |      73.79 |      75.41 |      75.37 |      75.03 |      72.31 |      75.61 |      76.00 |      75.00 |      75.82 |      75.18
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2043616 |    2081171 |    2112553 |    2111892 |    2103931 |    2080614 |    2117657 |    2125608 |    2104153 |    2122507 |    2121193
    num cache misses                 |      31802 |      34967 |      34838 |      34849 |      34823 |      28180 |      34886 |      34881 |      34918 |      34885 |      28591
    miss rate                        |      1.56% |      1.68% |      1.65% |      1.65% |      1.66% |      1.35% |      1.65% |      1.64% |      1.66% |      1.64% |      1.35%
    mpki                             |       1.11 |       1.24 |       1.24 |       1.24 |       1.24 |       0.98 |       1.25 |       1.25 |       1.25 |       1.25 |       1.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     470624 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      59.27 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       5.84 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      27494 |      31062 |      30942 |      30947 |      30909 |      23916 |      30983 |      30866 |      30926 |      30982 |      24681
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
