                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28759897 |   27681392 |   27577697 |   27800508 |   27535479 |   27546664 |   27554884 |   27578673 |   27660869 |   27561712 |   27610135
  Cycles                             |  138122362 |  138122362 |  138122362 |  138122362 |  138122362 |  138122362 |  138122362 |  138122362 |  138122362 |  138122362 |  138122362
  IPC                                |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   51925700 |   51925700 |   51925700 |   51925700 |   51925700 |   51925700 |   51925700 |   51925700 |   51925700 |   51925700 |   51925700
  Idle time (ns)                     |        819 |        -70 |         59 |        -25 |         82 |        -26 |         54 |         93 |         16 |        -16 |        122
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1036792 |    1033529 |    1040554 |    1032657 |    1032810 |    1032902 |    1033596 |    1036471 |    1032975 |    1034753
  num incorrect                      |       8006 |       7905 |       7882 |       7932 |       7874 |       7876 |       7878 |       7883 |       7902 |       7878 |       7890
  misprediction rate                 |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2789614 |    2779516 |    2801229 |    2776041 |    2776855 |    2777429 |    2779659 |    2788071 |    2777900 |    2782958
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778151 |   15197535 |   15133575 |   15271242 |   15108494 |   15114888 |   15119604 |   15134261 |   15185793 |   15123514 |   15153995
    num misses                       |       6344 |       4390 |       4390 |       4391 |       4390 |       4390 |       4390 |       4390 |       4390 |       4390 |       4390
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       4451 |       4451 |       4452 |       4451 |       4451 |       4451 |       4451 |       4451 |       4451 |       4451
    num misses                       |        333 |        308 |        308 |        308 |        308 |        308 |        308 |        308 |        308 |        308 |        308
    miss rate                        |      5.20% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2789614 |    2779516 |    2801229 |    2776041 |    2776855 |    2777429 |    2779659 |    2788071 |    2777900 |    2782958
    num cache misses                 |    1431159 |    1563679 |    1551327 |    1545545 |    1552305 |    1549866 |    1550079 |    1545826 |    1531276 |    1540821 |    1535143
    miss rate                        |     49.76% |     56.05% |     55.81% |     55.17% |     55.92% |     55.81% |     55.81% |     55.61% |     54.92% |     55.47% |     55.16%
    mpki                             |      49.76 |      56.49 |      56.25 |      55.59 |      56.37 |      56.26 |      56.25 |      56.05 |      55.36 |      55.90 |      55.60
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778151 |   15197535 |   15133575 |   15271242 |   15108494 |   15114888 |   15119604 |   15134261 |   15185793 |   15123514 |   15153995
    num cache misses                 |    1494598 |    1508077 |    1510657 |    1504517 |    1521457 |    1529080 |    1528104 |    1515932 |    1505267 |    1517984 |    1504313
    miss rate                        |      9.47% |      9.92% |      9.98% |      9.85% |     10.07% |     10.12% |     10.11% |     10.02% |      9.91% |     10.04% |      9.93%
    mpki                             |      51.97 |      54.48 |      54.78 |      54.12 |      55.25 |      55.51 |      55.46 |      54.97 |      54.42 |      55.08 |      54.48
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2926814 |    3072510 |    3062710 |    3050818 |    3074493 |    3079672 |    3078902 |    3062469 |    3037271 |    3059522 |    3040165
    num cache misses                 |    1969932 |    2051504 |    2072426 |    2053236 |    2085660 |    2089941 |    2093017 |    2080751 |    2080200 |    2091583 |    2085081
    miss rate                        |     67.31% |     66.77% |     67.67% |     67.30% |     67.84% |     67.86% |     67.98% |     67.94% |     68.49% |     68.36% |     68.58%
    mpki                             |      68.50 |      74.11 |      75.15 |      73.86 |      75.74 |      75.87 |      75.96 |      75.45 |      75.20 |      75.89 |      75.52
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1971017 |    2052272 |    2073162 |    2054002 |    2086404 |    2090681 |    2093752 |    2081476 |    2080954 |    2092316 |    2085805
    num cache misses                 |      31941 |      34869 |      34855 |      32479 |      34881 |      34855 |      34844 |      34821 |      33530 |      34838 |      34840
    miss rate                        |      1.62% |      1.70% |      1.68% |      1.58% |      1.67% |      1.67% |      1.66% |      1.67% |      1.61% |      1.67% |      1.67%
    mpki                             |       1.11 |       1.26 |       1.26 |       1.17 |       1.27 |       1.27 |       1.26 |       1.26 |       1.21 |       1.26 |       1.26
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     478514 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      59.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       6.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      27450 |      30929 |      31002 |      28443 |      30811 |      30837 |      30827 |      30817 |      29599 |      30982 |      30963
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
