                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   28759956 |   28614211 |   28602050 |   28645524 |   28585509 |   28606064 |   28610447 |   28623735 |   28615930 |   28580053 |   28597047 |   28604323
  Cycles                             |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032 |  194646032
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200 |   73175200
  Idle time (ns)                     |        -27 |         59 |        106 |         30 |        -27 |        253 |        253 |        153 |        232 |         89 |        106 |        214
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1056827 |    1056589 |    1057436 |    1056266 |    1056668 |    1056753 |    1057012 |    1056860 |    1056161 |    1056491 |    1056633
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2865016 |    2864075 |    2867432 |    2862797 |    2864386 |    2864724 |    2865750 |    2865148 |    2862378 |    2863688 |    2864251
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778139 |   15702445 |   15696134 |   15718729 |   15687519 |   15698222 |   15700499 |   15707404 |   15703348 |   15684703 |   15693536 |   15697316
    num misses                       |       6344 |       6011 |       5991 |       6081 |       5952 |       5999 |       6005 |       6030 |       6015 |       5942 |       5980 |       5995
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       6072 |       6052 |       6142 |       6013 |       6060 |       6066 |       6091 |       6076 |       6003 |       6041 |       6056
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.20% |      5.22% |      5.14% |      5.26% |      5.21% |      5.21% |      5.19% |      5.20% |      5.26% |      5.23% |      5.22%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2865016 |    2864075 |    2867432 |    2862797 |    2864386 |    2864724 |    2865750 |    2865148 |    2862378 |    2863688 |    2864251
    num cache misses                 |    1642729 |    1634302 |    1628800 |    1628240 |    1621733 |    1611304 |    1608982 |    1607547 |    1606258 |    1601379 |    1603360 |    1601272
    miss rate                        |     57.11% |     57.04% |     56.87% |     56.78% |     56.65% |     56.25% |     56.17% |     56.10% |     56.06% |     55.95% |     55.99% |     55.91%
    mpki                             |      57.12 |      57.12 |      56.95 |      56.84 |      56.73 |      56.33 |      56.24 |      56.16 |      56.13 |      56.03 |      56.07 |      55.98
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778139 |   15702445 |   15696134 |   15718729 |   15687519 |   15698222 |   15700499 |   15707404 |   15703348 |   15684703 |   15693536 |   15697316
    num cache misses                 |    2237777 |    2262118 |    2257611 |    2260695 |    2249036 |    2254477 |    2240290 |    2248658 |    2243346 |    2236698 |    2245217 |    2257943
    miss rate                        |     14.18% |     14.41% |     14.38% |     14.38% |     14.34% |     14.36% |     14.27% |     14.32% |     14.29% |     14.26% |     14.31% |     14.38%
    mpki                             |      77.81 |      79.06 |      78.93 |      78.92 |      78.68 |      78.81 |      78.30 |      78.56 |      78.40 |      78.26 |      78.51 |      78.94
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3884106 |    3897168 |    3887168 |    3889696 |    3871523 |    3866565 |    3850068 |    3856985 |    3850378 |    3838864 |    3849363 |    3860014
    num cache misses                 |    2943644 |    3001745 |    3004079 |    3000924 |    2998075 |    3002140 |    2981921 |    3000117 |    2994012 |    2987389 |    2994967 |    3015066
    miss rate                        |     75.79% |     77.02% |     77.28% |     77.15% |     77.44% |     77.64% |     77.45% |     77.78% |     77.76% |     77.82% |     77.80% |     78.11%
    mpki                             |     102.35 |     104.90 |     105.03 |     104.76 |     104.88 |     104.95 |     104.22 |     104.81 |     104.63 |     104.53 |     104.73 |     105.41
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2947321 |    3002510 |    3004854 |    3001700 |    2998846 |    3002941 |    2982738 |    3000914 |    2994806 |    2988193 |    2995770 |    3015885
    num cache misses                 |      34022 |      35384 |      35396 |      35407 |      35376 |      35423 |      35415 |      35407 |      35350 |      35399 |      35430 |      35391
    miss rate                        |      1.15% |      1.18% |      1.18% |      1.18% |      1.18% |      1.18% |      1.19% |      1.18% |      1.18% |      1.18% |      1.18% |      1.17%
    mpki                             |       1.18 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24 |       1.24
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     541688 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      58.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      32417 |      33799 |      33811 |      33786 |      33761 |      33818 |      33811 |      33797 |      33791 |      33795 |      33822 |      33801
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
