                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   28195543 |   28230920 |   28187497 |   28196332 |   28189907 |   28191486 |   28209584 |   28261475 |   28759986 |   28192652 |   28212221 |   28396457 |   28385806 |   28582008
  Cycles                             |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814 |  226200814
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.12 |       0.13 |       0.13 |       0.13
  Time (ns)                          |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900 |   85037900
  Idle time (ns)                     |         -8 |        202 |        228 |         89 |        -88 |        142 |        190 |        -15 |        -88 |         63 |         -8 |        289 |        228 |        142
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1048665 |    1049354 |    1048509 |    1048680 |    1048555 |    1048585 |    1048939 |    1049951 |    1059719 |    1048610 |    1048989 |    1052581 |    1052375 |    1056199
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2832684 |    2835415 |    2832064 |    2832744 |    2832248 |    2832369 |    2833769 |    2837776 |    2876325 |    2832462 |    2833970 |    2848198 |    2847378 |    2862528
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15484866 |   15503246 |   15480687 |   15485274 |   15481925 |   15482753 |   15492165 |   15519132 |   15778151 |   15483357 |   15493530 |   15589282 |   15583750 |   15685719
    num misses                       |       5085 |       5164 |       5073 |       5086 |       5076 |       5078 |       5114 |       5235 |       6344 |       5080 |       5122 |       5534 |       5514 |       5946
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.19 |       0.22 |       0.18 |       0.18 |       0.19 |       0.19 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5146 |       5225 |       5134 |       5147 |       5137 |       5139 |       5175 |       5296 |       6407 |       5141 |       5183 |       5595 |       5575 |       6007
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      6.14% |      6.05% |      6.16% |      6.14% |      6.15% |      6.15% |      6.11% |      5.97% |      5.20% |      6.15% |      6.10% |      5.65% |      5.67% |      5.26%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2832684 |    2835415 |    2832064 |    2832744 |    2832248 |    2832369 |    2833769 |    2837776 |    2876325 |    2832462 |    2833970 |    2848198 |    2847378 |    2862528
