                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   28732464 |   28743205 |   28736910 |   28730513 |   28705994 |   28705084 |   28757864 |   28749874 |   28759912 |   28741292 |   28707376 |   28725729 |   28741103 |   28734106
  Cycles                             |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982 |  168331982
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700 |   63282700
  Idle time (ns)                     |        -22 |        108 |         55 |        139 |         96 |        133 |        -25 |        148 |        -47 |        -47 |         73 |        157 |         73 |        -22
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059130 |    1059341 |    1059218 |    1059093 |    1058616 |    1058597 |    1059626 |    1059471 |    1059719 |    1059304 |    1058643 |    1058999 |    1059300 |    1059164
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2874144 |    2874976 |    2874490 |    2873995 |    2872103 |    2872031 |    2876107 |    2875491 |    2876325 |    2874829 |    2872210 |    2873625 |    2874814 |    2874274
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15763909 |   15769493 |   15766223 |   15762898 |   15750159 |   15749682 |   15777106 |   15772957 |   15778118 |   15768495 |   15750877 |   15760410 |   15768402 |   15764766
    num misses                       |       6269 |       6295 |       6281 |       6265 |       6213 |       6211 |       6329 |       6312 |       6344 |       6292 |       6215 |       6255 |       6292 |       6273
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6330 |       6356 |       6342 |       6326 |       6274 |       6272 |       6390 |       6373 |       6407 |       6353 |       6276 |       6316 |       6353 |       6334
    num misses                       |        319 |        320 |        320 |        319 |        317 |        317 |        321 |        321 |        333 |        320 |        318 |        319 |        320 |        320
    miss rate                        |      5.04% |      5.03% |      5.05% |      5.04% |      5.05% |      5.05% |      5.02% |      5.04% |      5.20% |      5.04% |      5.07% |      5.05% |      5.04% |      5.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2874144 |    2874976 |    2874490 |    2873995 |    2872103 |    2872031 |    2876107 |    2875491 |    2876325 |    2874829 |    2872210 |    2873625 |    2874814 |    2874274
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15763909 |   15769493 |   15766223 |   15762898 |   15750159 |   15749682 |   15777106 |   15772957 |   15778118 |   15768495 |   15750877 |   15760410 |   15768402 |   15764766
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
