                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   28418366 |   28408632 |   28409441 |   28442724 |   28431641 |   28441783 |   28614134 |   28461234 |   28458286 |   28472433 |   28515275 |   28532720 |   28616129 |   28759986
  Cycles                             |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866 |  204846866
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100 |   77010100
  Idle time (ns)                     |        111 |        -27 |        285 |        358 |        242 |        262 |        262 |        111 |        197 |        242 |         42 |         91 |         42 |        -27
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1053008 |    1052819 |    1052835 |    1053483 |    1053267 |    1053465 |    1056825 |    1053845 |    1053786 |    1054064 |    1054898 |    1055239 |    1056864 |    1059719
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2849890 |    2849139 |    2849202 |    2851771 |    2850916 |    2851699 |    2865009 |    2853202 |    2852973 |    2854068 |    2857375 |    2858723 |    2865163 |    2876325
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15600668 |   15595601 |   15596032 |   15613328 |   15607570 |   15612841 |   15702416 |   15622952 |   15621417 |   15628770 |   15651035 |   15660106 |   15703453 |   15778151
    num misses                       |       5576 |       5556 |       5557 |       5632 |       5606 |       5630 |       6011 |       5676 |       5668 |       5704 |       5790 |       5830 |       6015 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.21 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5637 |       5617 |       5618 |       5693 |       5667 |       5691 |       6072 |       5737 |       5729 |       5765 |       5851 |       5891 |       6076 |       6407
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333
    miss rate                        |      5.61% |      5.63% |      5.62% |      5.55% |      5.58% |      5.55% |      5.20% |      5.51% |      5.52% |      5.48% |      5.40% |      5.36% |      5.20% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2849890 |    2849139 |    2849202 |    2851771 |    2850916 |    2851699 |    2865009 |    2853202 |    2852973 |    2854068 |    2857375 |    2858723 |    2865163 |    2876325
