                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   28121046 |   28112853 |   28144011 |   28143097 |   28122652 |   28146183 |   28144738 |   28153713 |   28151430 |   28759949 |   28151534 |   28481515 |   28204580 |   28153202 |   28234804
  Cycles                             |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832 |  236886832
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200 |   89055200
  Idle time (ns)                     |        340 |        169 |         47 |         47 |        308 |         16 |        295 |        236 |         16 |        -24 |        236 |        198 |        201 |         -2 |        -24
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1047213 |    1047054 |    1047660 |    1047643 |    1047244 |    1047704 |    1047674 |    1047850 |    1047805 |    1059719 |    1047807 |    1054240 |    1048841 |    1047840 |    1049431
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2826931 |    2826299 |    2828704 |    2828634 |    2827055 |    2828874 |    2828760 |    2829454 |    2829277 |    2876325 |    2829285 |    2854768 |    2833382 |    2829414 |    2835716
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
