                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   28759909 |   28748869 |   28738925 |   28735006 |   28724489 |   28722010 |   28718897 |   28729370 |   28743372 |   28731095 |   28719985 |   28709295 |   28740328 |   28748893 |   28758311
  Cycles                             |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360 |  179406360
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000 |   67446000
  Idle time (ns)                     |         -1 |         69 |        186 |         78 |         -1 |        222 |        179 |        199 |        186 |        110 |        211 |        222 |        199 |        159 |         69
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1059451 |    1059257 |    1059181 |    1058975 |    1058928 |    1058866 |    1059071 |    1059344 |    1059104 |    1058889 |    1058680 |    1059285 |    1059452 |    1059635
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2875413 |    2874645 |    2874343 |    2873529 |    2873340 |    2873098 |    2873908 |    2874989 |    2874040 |    2873184 |    2872358 |    2874754 |    2875416 |    2876142
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778116 |   15772431 |   15767264 |   15765234 |   15759757 |   15758481 |   15756860 |   15762305 |   15769581 |   15763199 |   15757429 |   15751873 |   15768001 |   15772453 |   15777344
