                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   28231308 |   28248931 |   28235409 |   28261682 |   28252119 |   28283270 |   28280374 |   28759941 |   28273006 |   28285810 |   28286967 |   28284916 |   28290719 |   28290180 |   28340264
  Cycles                             |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914 |  240125914
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900 |   90272900
  Idle time (ns)                     |         19 |        269 |         46 |        319 |        263 |        161 |         91 |        -80 |        230 |        128 |        262 |        -80 |         46 |         19 |        230
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1049362 |    1049706 |    1049442 |    1049954 |    1049767 |    1050375 |    1050319 |    1059719 |    1050176 |    1050426 |    1050448 |    1050407 |    1050520 |    1050510 |    1051487
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2835446 |    2836807 |    2835762 |    2837790 |    2837052 |    2839458 |    2839235 |    2876325 |    2838667 |    2839656 |    2839745 |    2839585 |    2840033 |    2839992 |    2843861
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15503438 |   15512612 |   15505581 |   15519235 |   15514268 |   15530458 |   15528954 |   15778130 |   15525128 |   15531779 |   15532382 |   15531302 |   15534329 |   15534051 |   15560082
    num misses                       |       5164 |       5207 |       5175 |       5236 |       5215 |       5280 |       5276 |       6344 |       5261 |       5284 |       5286 |       5282 |       5293 |       5292 |       5407
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.18 |       0.18 |       0.18 |       0.19 |       0.18 |       0.19 |       0.19 |       0.22 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5225 |       5268 |       5236 |       5297 |       5276 |       5341 |       5337 |       6407 |       5322 |       5345 |       5347 |       5343 |       5354 |       5353 |       5468
