                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28363687 |   28394632 |   28362754 |   28378830 |   28392812 |   28366426 |   28387653 |   28421934 |   28385563 |   28561409 |   28374050 |   28442110 |   28436007 |   28607681 |   28759941 |   28592498
  Cycles                             |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998 |  285205998
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300 |  107220300
  Idle time (ns)                     |        430 |        285 |         66 |         42 |        -52 |        101 |        172 |        285 |        399 |        357 |        101 |        389 |        430 |        277 |        -52 |        277
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1051942 |    1052546 |    1051925 |    1052237 |    1052511 |    1051997 |    1052410 |    1053078 |    1052368 |    1055797 |    1052145 |    1053472 |    1053353 |    1056699 |    1059719 |    1056404
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2845667 |    2848058 |    2845597 |    2846837 |    2847918 |    2845881 |    2847519 |    2850166 |    2847356 |    2860937 |    2846469 |    2851725 |    2851254 |    2864510 |    2876325 |    2863339
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15572250 |   15588333 |   15571762 |   15580121 |   15587382 |   15573674 |   15584709 |   15602525 |   15583619 |   15675013 |   15577638 |   15613011 |   15609839 |   15699061 |   15778130 |   15691172
    num misses                       |       5460 |       5531 |       5458 |       5495 |       5528 |       5467 |       5517 |       5586 |       5512 |       5896 |       5486 |       5631 |       5618 |       6002 |       6344 |       5970
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.20 |       0.19 |       0.21 |       0.19 |       0.20 |       0.20 |       0.21 |       0.22 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5521 |       5592 |       5519 |       5556 |       5589 |       5528 |       5578 |       5647 |       5573 |       5957 |       5547 |       5692 |       5679 |       6063 |       6407 |       6031
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333 |        316
