                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28489536 |   28505918 |   28485388 |   28522200 |   28517318 |   28512813 |   28486095 |   28527605 |   28519156 |   28517460 |   28759933 |   28550398 |   28592342 |   28591599 |   28641883 |   28603734
  Cycles                             |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354 |  293549354
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900 |  110356900
  Idle time (ns)                     |        410 |        167 |         60 |        -11 |        338 |         41 |        307 |        282 |        210 |        184 |        -39 |        145 |        428 |        265 |         60 |        -39
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1054396 |    1054716 |    1054314 |    1055033 |    1054937 |    1054850 |    1054330 |    1055139 |    1054974 |    1054940 |    1059719 |    1055582 |    1056399 |    1056385 |    1057366 |    1056622
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2855387 |    2856653 |    2855065 |    2857910 |    2857532 |    2857184 |    2855122 |    2858328 |    2857675 |    2857543 |    2876325 |    2860086 |    2863325 |    2863268 |    2867152 |    2864206
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15637660 |   15646175 |   15635481 |   15654637 |   15652097 |   15649754 |   15635874 |   15657445 |   15653048 |   15652171 |   15778126 |   15669291 |   15691088 |   15690701 |   15716838 |   15696994
    num misses                       |       5739 |       5769 |       5730 |       5804 |       5795 |       5785 |       5733 |       5819 |       5799 |       5795 |       6344 |       5871 |       5969 |       5967 |       6071 |       5994
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5800 |       5830 |       5791 |       5865 |       5856 |       5846 |       5794 |       5880 |       5860 |       5856 |       6407 |       5932 |       6030 |       6028 |       6132 |       6055
    num misses                       |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        333 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.45% |      5.42% |      5.46% |      5.39% |      5.40% |      5.41% |      5.45% |      5.37% |      5.39% |      5.40% |      5.20% |      5.33% |      5.24% |      5.24% |      5.15% |      5.22%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2855387 |    2856653 |    2855065 |    2857910 |    2857532 |    2857184 |    2855122 |    2858328 |    2857675 |    2857543 |    2876325 |    2860086 |    2863325 |    2863268 |    2867152 |    2864206
    num cache misses                 |    1729830 |    1710924 |    1708993 |    1705938 |    1699337 |    1704918 |    1685646 |    1679833 |    1675894 |    1677967 |    1673331 |    1685609 |    1690267 |    1689026 |    1673356 |    1666999
    miss rate                        |     60.58% |     59.89% |     59.86% |     59.69% |     59.47% |     59.67% |     59.04% |     58.77% |     58.65% |     58.72% |     58.18% |     58.94% |     59.03% |     58.99% |     58.36% |     58.20%
    mpki                             |      60.72 |      60.02 |      60.00 |      59.81 |      59.59 |      59.79 |      59.17 |      58.88 |      58.76 |      58.84 |      58.18 |      59.04 |      59.12 |      59.07 |      58.42 |      58.28
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15637660 |   15646175 |   15635481 |   15654637 |   15652097 |   15649754 |   15635874 |   15657445 |   15653048 |   15652171 |   15778126 |   15669291 |   15691088 |   15690701 |   15716838 |   15696994
    num cache misses                 |    4357963 |    4335786 |    4359179 |    4371027 |    4352961 |    4372039 |    4369205 |    4356329 |    4334084 |    4341805 |    4324283 |    4364394 |    4360988 |    4376995 |    4332130 |    4309451
    miss rate                        |     27.87% |     27.71% |     27.88% |     27.92% |     27.81% |     27.94% |     27.94% |     27.82% |     27.69% |     27.74% |     27.41% |     27.85% |     27.79% |     27.90% |     27.56% |     27.45%
    mpki                             |     152.97 |     152.10 |     153.03 |     153.25 |     152.64 |     153.34 |     153.38 |     152.71 |     151.97 |     152.25 |     150.36 |     152.87 |     152.52 |     153.09 |     151.25 |     150.66
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6088662 |    6047598 |    6069074 |    6077860 |    6053192 |    6077829 |    6055787 |    6037050 |    6010884 |    6020678 |    5998519 |    6050900 |    6052170 |    6066906 |    6006368 |    5977336
    num cache misses                 |    5627718 |    5606127 |    5634918 |    5661463 |    5649675 |    5668800 |    5664463 |    5654990 |    5623929 |    5631035 |    5540809 |    5650053 |    5637136 |    5657178 |    5598950 |    5567331
    miss rate                        |     92.43% |     92.70% |     92.85% |     93.15% |     93.33% |     93.27% |     93.54% |     93.67% |     93.56% |     93.53% |     92.37% |     93.38% |     93.14% |     93.25% |     93.22% |     93.14%
    mpki                             |     197.54 |     196.67 |     197.82 |     198.49 |     198.11 |     198.82 |     198.85 |     198.23 |     197.20 |     197.46 |     192.66 |     197.90 |     197.16 |     197.86 |     195.48 |     194.64
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5628610 |    5607036 |    5635839 |    5662377 |    5650590 |    5669693 |    5665419 |    5655898 |    5624858 |    5631961 |    5541739 |    5650972 |    5638073 |    5658084 |    5599852 |    5568237
    num cache misses                 |      37034 |      37039 |      37056 |      37069 |      37007 |      37030 |      37162 |      37038 |      37097 |      37107 |      37513 |      37036 |      37051 |      37026 |      36994 |      37006
