                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28475715 |   28475611 |   28477037 |   28759941 |   28473959 |   28477339 |   28531890 |   28474016 |   28506645 |   28537054 |   28496396 |   28516001 |   28637138 |   28512498 |   28538609 |   28701948
  Cycles                             |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532 |  269591532
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200 |  101350200
  Idle time (ns)                     |        286 |          9 |        263 |         -7 |        141 |        217 |        175 |         92 |         -7 |        141 |        406 |         46 |        286 |        181 |        450 |        197
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1054127 |    1054125 |    1054152 |    1059719 |    1054093 |    1054158 |    1055221 |    1054094 |    1054730 |    1055322 |    1054530 |    1054912 |    1057273 |    1054844 |    1055352 |    1058537
  num incorrect                      |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2854320 |    2854312 |    2854421 |    2876325 |    2854185 |    2854445 |    2858657 |    2854189 |    2856709 |    2859056 |    2855917 |    2857431 |    2866785 |    2857160 |    2859176 |    2871791
    num misses                       |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
