                                     | Core 0     | Core 1    
  Instructions                       |   28759913 |   28759584
  Cycles                             |   25354322 |   25354322
  IPC                                |       1.13 |       1.13
  Time (ns)                          |    9531700 |    9531700
  Idle time (ns)                     |       -822 |       -822
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    1059719 |    1059677
  num incorrect                      |       8006 |       7968
  misprediction rate                 |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2876325 |    2876257
    num misses                       |         63 |         61
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   15778121 |   15777964
    num misses                       |       6344 |       6337
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22
  L2 TLB                             |            |           
    num accesses                     |       6407 |       6398
    num misses                       |        333 |        325
    miss rate                        |      5.20% |      5.08%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2876325 |    2876257
    num cache misses                 |       1587 |       1547
    miss rate                        |      0.06% |      0.05%
    mpki                             |       0.06 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |   15778121 |   15777964
    num cache misses                 |      59481 |      59445
    miss rate                        |      0.38% |      0.38%
    mpki                             |       2.07 |       2.07
  Cache L2                           |            |           
    num cache accesses               |      61099 |      61020
    num cache misses                 |      60561 |      60440
    miss rate                        |     99.12% |     99.05%
    mpki                             |       2.11 |       2.10
  Cache L3                           |            |           
    num cache accesses               |      60673 |      60546
    num cache misses                 |      13885 |      13839
    miss rate                        |     22.88% |     22.86%
    mpki                             |       0.48 |       0.48
DRAM summary                         |            |           
  num dram accesses                  |      27724 |          0
  average dram access latency (ns)   |      56.02 |        inf
  average dram queueing delay        |       2.59 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       4556 |       4550
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
