                                     | Core 0     | Core 1    
  Instructions                       |   28759893 |   28759801
  Cycles                             |   64741740 |   64741740
  IPC                                |       0.44 |       0.44
  Time (ns)                          |   24339000 |   24339000
  Idle time (ns)                     |       -940 |        -26
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    1059719 |    1059706
  num incorrect                      |       8006 |       7993
  misprediction rate                 |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2876325 |    2876309
    num misses                       |         63 |         63
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   15778116 |   15778108
    num misses                       |       6344 |       6344
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22
  L2 TLB                             |            |           
    num accesses                     |       6407 |       6407
    num misses                       |        333 |        333
    miss rate                        |      5.20% |      5.20%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2876325 |    2876309
    num cache misses                 |       1590 |       1579
    miss rate                        |      0.06% |      0.05%
    mpki                             |       0.06 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |   15778116 |   15778108
    num cache misses                 |      59489 |      59470
    miss rate                        |      0.38% |      0.38%
    mpki                             |       2.07 |       2.07
  Cache L2                           |            |           
    num cache accesses               |      61105 |      61075
    num cache misses                 |      60533 |      60497
    miss rate                        |     99.06% |     99.05%
    mpki                             |       2.10 |       2.10
  Cache L3                           |            |           
    num cache accesses               |      60640 |      60602
    num cache misses                 |      13882 |      13869
    miss rate                        |     22.89% |     22.89%
    mpki                             |       0.48 |       0.48
DRAM summary                         |            |           
  num dram accesses                  |      27751 |          0
  average dram access latency (ns)   |      55.87 |        inf
  average dram queueing delay        |       2.44 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       4550 |       4549
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
