                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   28759893 |   28719620 |   28739125
  Cycles                             |   36775298 |   36775298 |   36775298
  IPC                                |       0.78 |       0.78 |       0.78
  Time (ns)                          |   13825300 |   13825300 |   13825300
  Idle time (ns)                     |        -26 |        -26 |        -27
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |    1059719 |    1058882 |    1059259
  num incorrect                      |       8006 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    2876325 |    2873156 |    2874653
    num misses                       |         63 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   15778110 |   15757235 |   15767317
    num misses                       |       6344 |       6240 |       6285
    miss rate                        |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |           
    num accesses                     |       6407 |       6301 |       6346
    num misses                       |        333 |        318 |        320
    miss rate                        |      5.20% |      5.05% |      5.04%
    mpki                             |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    2876325 |    2873156 |    2874653
    num cache misses                 |      91262 |      91794 |      92054
    miss rate                        |      3.17% |      3.19% |      3.20%
    mpki                             |       3.17 |       3.20 |       3.20
  Cache L1-D                         |            |            |           
    num cache accesses               |   15778110 |   15757235 |   15767317
    num cache misses                 |      66909 |      66347 |      66087
    miss rate                        |      0.42% |      0.42% |      0.42%
    mpki                             |       2.33 |       2.31 |       2.30
  Cache L2                           |            |            |           
    num cache accesses               |     158200 |     158168 |     158168
    num cache misses                 |      61681 |      61157 |      61380
    miss rate                        |     38.99% |     38.67% |     38.81%
    mpki                             |       2.14 |       2.13 |       2.14
  Cache L3                           |            |            |           
    num cache accesses               |      61751 |      61195 |      61420
    num cache misses                 |      13879 |      13819 |      13819
    miss rate                        |     22.48% |     22.58% |     22.50%
    mpki                             |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |           
  num dram accesses                  |      41517 |          0 |          0
  average dram access latency (ns)   |      56.38 |        inf |        inf
  average dram queueing delay        |       2.95 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       4699 |       4713 |       4692
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
