                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28744300 |   28759893 |   28743075 |   28759885
  Cycles                             |   48601658 |   48601658 |   48601658 |   48601658
  IPC                                |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                          |   18271300 |   18271300 |   18271300 |   18271300
  Idle time (ns)                     |         -7 |         -7 |         26 |         66
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059362 |    1059719 |    1059339 |    1059717
  num incorrect                      |       7955 |       8006 |       7955 |       8006
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2875061 |    2876325 |    2874968 |    2876321
    num misses                       |         61 |         63 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15770066 |   15778121 |   15769440 |   15778157
    num misses                       |       6297 |       6344 |       6295 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |       6358 |       6407 |       6356 |       6407
    num misses                       |        320 |        333 |        320 |        333
    miss rate                        |      5.03% |      5.20% |      5.03% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2875061 |    2876325 |    2874968 |    2876321
    num cache misses                 |     137982 |     138163 |     138809 |     138951
    miss rate                        |      4.80% |      4.80% |      4.83% |      4.83%
    mpki                             |       4.80 |       4.80 |       4.83 |       4.83
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15770066 |   15778121 |   15769440 |   15778157
    num cache misses                 |      98831 |      98900 |      98700 |      98813
    miss rate                        |      0.63% |      0.63% |      0.63% |      0.63%
    mpki                             |       3.44 |       3.44 |       3.43 |       3.44
  Cache L2                           |            |            |            |           
    num cache accesses               |     236839 |     237091 |     237535 |     237795
    num cache misses                 |      63147 |      63435 |      63084 |      63428
    miss rate                        |     26.66% |     26.76% |     26.56% |     26.67%
    mpki                             |       2.20 |       2.21 |       2.19 |       2.21
  Cache L3                           |            |            |            |           
    num cache accesses               |      63185 |      63473 |      63117 |      63467
    num cache misses                 |      13819 |      13885 |      13819 |      13884
    miss rate                        |     21.87% |     21.88% |     21.89% |     21.88%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55407 |          0 |          0 |          0
  average dram access latency (ns)   |      56.88 |        inf |        inf |        inf
  average dram queueing delay        |       3.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4861 |       4865 |       4853 |       4861
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
