                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28759901 |   28710130 |   28702713 |   28711682
  Cycles                             |   73613904 |   73613904 |   73613904 |   73613904
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   27674400 |   27674400 |   27674400 |   27674400
  Idle time (ns)                     |        -96 |        -96 |        -18 |         -5
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059719 |    1058696 |    1058551 |    1058726
  num incorrect                      |       8006 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2876325 |    2872422 |    2871848 |    2872541
    num misses                       |         63 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15778114 |   15752301 |   15748448 |   15753109
    num misses                       |       6344 |       6221 |       6208 |       6224
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |       6407 |       6282 |       6269 |       6285
    num misses                       |        333 |        318 |        317 |        318
    miss rate                        |      5.20% |      5.06% |      5.06% |      5.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2876325 |    2872422 |    2871848 |    2872541
    num cache misses                 |     136328 |     139252 |     137297 |     139114
    miss rate                        |      4.74% |      4.85% |      4.78% |      4.84%
    mpki                             |       4.74 |       4.85 |       4.78 |       4.85
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15778114 |   15752301 |   15748448 |   15753109
    num cache misses                 |     102164 |     102285 |     102441 |     102333
    miss rate                        |      0.65% |      0.65% |      0.65% |      0.65%
    mpki                             |       3.55 |       3.56 |       3.57 |       3.56
  Cache L2                           |            |            |            |           
    num cache accesses               |     238515 |     241558 |     239759 |     241469
    num cache misses                 |      63656 |      63220 |      63120 |      63120
    miss rate                        |     26.69% |     26.17% |     26.33% |     26.14%
    mpki                             |       2.21 |       2.20 |       2.20 |       2.20
  Cache L3                           |            |            |            |           
    num cache accesses               |      63694 |      63253 |      63153 |      63149
    num cache misses                 |      13881 |      13819 |      13819 |      13819
    miss rate                        |     21.79% |     21.85% |     21.88% |     21.88%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55338 |          0 |          0 |          0
  average dram access latency (ns)   |      56.55 |        inf |        inf |        inf
  average dram queueing delay        |       3.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4867 |       4815 |       4849 |       4822
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
