                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759901 |   28469111 |   28370143 |   28346373 |   28306187
  Cycles                             |   60471110 |   60471110 |   60471110 |   60471110 |   60471110
  IPC                                |       0.48 |       0.47 |       0.47 |       0.47 |       0.47
  Time (ns)                          |   22733500 |   22733500 |   22733500 |   22733500 |   22733500
  Idle time (ns)                     |         -6 |         -6 |         -6 |         30 |         30
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1053998 |    1052068 |    1051606 |    1050823
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2853810 |    2846166 |    2844332 |    2841230
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778115 |   15627043 |   15575606 |   15563259 |   15542374
    num misses                       |       6344 |       5694 |       5477 |       5422 |       5329
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.20 |       0.19 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       5755 |       5538 |       5483 |       5390
    num misses                       |        333 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.49% |      5.71% |      5.76% |      5.86%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2853810 |    2846166 |    2844332 |    2841230
    num cache misses                 |     389588 |     438500 |     454080 |     457195 |     463021
    miss rate                        |     13.54% |     15.37% |     15.95% |     16.07% |     16.30%
    mpki                             |      13.55 |      15.40 |      16.01 |      16.13 |      16.36
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778115 |   15627043 |   15575606 |   15563259 |   15542374
    num cache misses                 |     963595 |     993766 |     983218 |     994092 |     992043
    miss rate                        |      6.11% |      6.36% |      6.31% |      6.39% |      6.38%
    mpki                             |      33.50 |      34.91 |      34.66 |      35.07 |      35.05
  Cache L2                           |            |            |            |            |           
    num cache accesses               |    1353207 |    1432287 |    1437316 |    1451306 |    1455084
    num cache misses                 |      90420 |      87607 |      87027 |      86657 |      86153
    miss rate                        |      6.68% |      6.12% |      6.05% |      5.97% |      5.92%
    mpki                             |       3.14 |       3.08 |       3.07 |       3.06 |       3.04
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      90452 |      87643 |      87063 |      86688 |      86180
    num cache misses                 |      13889 |      13828 |      13829 |      13831 |      13831
    miss rate                        |     15.36% |     15.78% |     15.88% |     15.95% |     16.05%
    mpki                             |       0.48 |       0.49 |       0.49 |       0.49 |       0.49
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69419 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.01 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.58 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       5364 |       5422 |       5547 |       5576 |       5575
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
