                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   28759931 |   28601284 |   28579395 |   28545904 |   28565973 |   28569811
  Cycles                             |   72960076 |   72960076 |   72960076 |   72960076 |   72960076 |   72960076
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   27428600 |   27428600 |   27428600 |   27428600 |   27428600 |   27428600
  Idle time (ns)                     |        -26 |        -26 |         53 |         19 |         10 |         41
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1059719 |    1056575 |    1056149 |    1055496 |    1055887 |    1055961
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2876325 |    2864017 |    2862328 |    2859741 |    2861291 |    2861587
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   15778126 |   15695725 |   15684364 |   15666957 |   15677388 |   15679383
    num misses                       |       6344 |       5988 |       5939 |       5861 |       5908 |       5917
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6407 |       6049 |       6000 |       5922 |       5969 |       5978
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.22% |      5.27% |      5.34% |      5.29% |      5.29%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2864017 |    2862328 |    2859741 |    2861291 |    2861587
    num cache misses                 |     852461 |     871711 |     887860 |     883407 |     869198 |     890354
    miss rate                        |     29.64% |     30.44% |     31.02% |     30.89% |     30.38% |     31.11%
    mpki                             |      29.64 |      30.48 |      31.07 |      30.95 |      30.43 |      31.16
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   15778126 |   15695725 |   15684364 |   15666957 |   15677388 |   15679383
    num cache misses                 |     135384 |     137461 |     137177 |     136136 |     137633 |     137904
    miss rate                        |      0.86% |      0.88% |      0.87% |      0.87% |      0.88% |      0.88%
    mpki                             |       4.71 |       4.81 |       4.80 |       4.77 |       4.82 |       4.83
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     987898 |    1009234 |    1025102 |    1019607 |    1006892 |    1028322
    num cache misses                 |     110136 |     111116 |     111090 |     110102 |     111257 |     111051
    miss rate                        |     11.15% |     11.01% |     10.84% |     10.80% |     11.05% |     10.80%
    mpki                             |       3.83 |       3.89 |       3.89 |       3.86 |       3.89 |       3.89
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     110191 |     111189 |     111163 |     110170 |     111323 |     111120
    num cache misses                 |      14757 |      14607 |      14607 |      14575 |      14579 |      14600
    miss rate                        |     13.39% |     13.14% |     13.14% |     13.23% |     13.10% |     13.14%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      92323 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.32 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.89 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6598 |       6466 |       6508 |       6532 |       6495 |       6492
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
