                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   28759949 |   28675518 |   28759067 |   28689623 |   28633955 |   28673168 |   28690342 |   28710835
  Cycles                             |   97616148 |   97616148 |   97616148 |   97616148 |   97616148 |   97616148 |   97616148 |   97616148
  IPC                                |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |   36697800 |   36697800 |   36697800 |   36697800 |   36697800 |   36697800 |   36697800 |   36697800
  Idle time (ns)                     |        -70 |         22 |        -70 |         22 |        -23 |         22 |          2 |         48
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1058021 |    1059649 |    1058296 |    1057212 |    1057976 |    1058310 |    1058710
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2869748 |    2876200 |    2870838 |    2866540 |    2869568 |    2870894 |    2872477
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   15778135 |   15734314 |   15777729 |   15741649 |   15712716 |   15733099 |   15742025 |   15752669
    num misses                       |       6344 |       6150 |       6330 |       6183 |       6055 |       6145 |       6184 |       6222
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.22 |       0.21 |       0.21 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       6211 |       6391 |       6244 |       6116 |       6206 |       6245 |       6283
    num misses                       |        333 |        316 |        321 |        316 |        316 |        316 |        316 |        318
    miss rate                        |      5.20% |      5.09% |      5.02% |      5.06% |      5.17% |      5.09% |      5.06% |      5.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2869748 |    2876200 |    2870838 |    2866540 |    2869568 |    2870894 |    2872477
    num cache misses                 |    1486681 |    1510398 |    1484933 |    1502636 |    1510756 |    1508800 |    1497835 |    1499871
    miss rate                        |     51.69% |     52.63% |     51.63% |     52.34% |     52.70% |     52.58% |     52.17% |     52.22%
    mpki                             |      51.69 |      52.67 |      51.63 |      52.38 |      52.76 |      52.62 |      52.21 |      52.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   15778135 |   15734314 |   15777729 |   15741649 |   15712716 |   15733099 |   15742025 |   15752669
    num cache misses                 |     314627 |     314238 |     311209 |     316888 |     314298 |     316626 |     316493 |     315810
    miss rate                        |      1.99% |      2.00% |      1.97% |      2.01% |      2.00% |      2.01% |      2.01% |      2.00%
    mpki                             |      10.94 |      10.96 |      10.82 |      11.05 |      10.98 |      11.04 |      11.03 |      11.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1801384 |    1824697 |    1796213 |    1819582 |    1825115 |    1825492 |    1814389 |    1815745
    num cache misses                 |     205207 |     204079 |     200612 |     213177 |     207804 |     207578 |     209922 |     207505
    miss rate                        |     11.39% |     11.18% |     11.17% |     11.72% |     11.39% |     11.37% |     11.57% |     11.43%
    mpki                             |       7.14 |       7.12 |       6.98 |       7.43 |       7.26 |       7.24 |       7.32 |       7.23
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     205287 |     204146 |     200689 |     213243 |     207869 |     207650 |     209989 |     207573
    num cache misses                 |      14750 |      14629 |      14696 |      14625 |      14627 |      14631 |      14626 |      14647
    miss rate                        |      7.19% |      7.17% |      7.32% |      6.86% |      7.04% |      7.05% |      6.97% |      7.06%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     124512 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      58.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       7702 |       7715 |       7775 |       7660 |       7766 |       7714 |       7662 |       7703
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
