                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28758532 |   28759949 |   28603130 |   28721876 |   28359222 |   28292570 |   28162631 |   28186246 |   28652148
  Cycles                             |  110700422 |  110700422 |  110700422 |  110700422 |  110700422 |  110700422 |  110700422 |  110700422 |  110700422
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.25 |       0.25 |       0.26
  Time (ns)                          |   41616700 |   41616700 |   41616700 |   41616700 |   41616700 |   41616700 |   41616700 |   41616700 |   41616700
  Idle time (ns)                     |         32 |        -49 |        -49 |        -49 |         32 |          3 |        -11 |         72 |          8
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059639 |    1059719 |    1056610 |    1058924 |    1051857 |    1050557 |    1048024 |    1048485 |    1057565
  num incorrect                      |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876159 |    2876325 |    2864159 |    2873322 |    2845325 |    2840177 |    2830143 |    2831967 |    2867944
    num misses                       |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   15777462 |   15778135 |   15696685 |   15758355 |   15569933 |   15535294 |   15467759 |   15480035 |   15722173
    num misses                       |       6330 |       6344 |       5992 |       6246 |       5452 |       5298 |       5018 |       5070 |       6095
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.21 |       0.22 |       0.19 |       0.19 |       0.18 |       0.18 |       0.21
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |       6391 |       6407 |       6053 |       6307 |       5513 |       5359 |       5079 |       5131 |       6156
    num misses                       |        321 |        333 |        316 |        319 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.02% |      5.20% |      5.22% |      5.06% |      5.73% |      5.90% |      6.22% |      6.16% |      5.13%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876159 |    2876325 |    2864159 |    2873322 |    2845325 |    2840177 |    2830143 |    2831967 |    2867944
    num cache misses                 |    1356687 |    1358639 |    1379716 |    1370926 |    1363732 |    1336492 |    1317093 |    1319980 |    1354387
    miss rate                        |     47.17% |     47.24% |     48.17% |     47.71% |     47.93% |     47.06% |     46.54% |     46.61% |     47.23%
    mpki                             |      47.18 |      47.24 |      48.24 |      47.73 |      48.09 |      47.24 |      46.77 |      46.83 |      47.27
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15777462 |   15778135 |   15696685 |   15758355 |   15569933 |   15535294 |   15467759 |   15480035 |   15722173
    num cache misses                 |     496880 |     494413 |     494097 |     495066 |     487131 |     489009 |     486673 |     485443 |     496859
    miss rate                        |      3.15% |      3.13% |      3.15% |      3.14% |      3.13% |      3.15% |      3.15% |      3.14% |      3.16%
    mpki                             |      17.28 |      17.19 |      17.27 |      17.24 |      17.18 |      17.28 |      17.28 |      17.22 |      17.34
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1854316 |    1853824 |    1874560 |    1866711 |    1851584 |    1826216 |    1804473 |    1806133 |    1851799
    num cache misses                 |     636546 |     633554 |     645301 |     648398 |     661164 |     672717 |     687677 |     685987 |     689988
    miss rate                        |     34.33% |     34.18% |     34.42% |     34.73% |     35.71% |     36.84% |     38.11% |     37.98% |     37.26%
    mpki                             |      22.13 |      22.03 |      22.56 |      22.58 |      23.31 |      23.78 |      24.42 |      24.34 |      24.08
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     637297 |     634331 |     646049 |     649119 |     661890 |     673435 |     688387 |     686700 |     690544
    num cache misses                 |      31087 |      31184 |      30946 |      27390 |      30737 |      30427 |      30660 |      30681 |      21886
    miss rate                        |      4.88% |      4.92% |      4.79% |      4.22% |      4.64% |      4.52% |      4.45% |      4.47% |      3.17%
    mpki                             |       1.08 |       1.08 |       1.08 |       0.95 |       1.08 |       1.08 |       1.09 |       1.09 |       0.76
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     347168 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.61 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      26051 |      26040 |      25834 |      22226 |      25585 |      25146 |      25272 |      25352 |      16628
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
