                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28725568 |   28751326 |   28679883 |   28678328 |   28759972 |   28726091 |   28703765 |   28692693 |   28737762
  Cycles                             |  109827144 |  109827144 |  109827144 |  109827144 |  109827144 |  109827144 |  109827144 |  109827144 |  109827144
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26
  Time (ns)                          |   41288400 |   41288400 |   41288400 |   41288400 |   41288400 |   41288400 |   41288400 |   41288400 |   41288400
  Idle time (ns)                     |        -64 |          6 |         -9 |          6 |        -64 |        -16 |         -9 |         45 |        -16
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1058996 |    1059499 |    1058107 |    1058075 |    1059719 |    1059008 |    1058572 |    1058357 |    1059234
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2873613 |    2875603 |    2870086 |    2869964 |    2876325 |    2873655 |    2871931 |    2871076 |    2874555
    num misses                       |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   15760313 |   15773714 |   15736583 |   15735774 |   15778147 |   15760601 |   15749001 |   15743247 |   15766665
    num misses                       |       6254 |       6316 |       6159 |       6156 |       6344 |       6258 |       6209 |       6190 |       6284
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.21 |       0.21 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |       6315 |       6377 |       6220 |       6217 |       6407 |       6319 |       6270 |       6251 |       6345
    num misses                       |        319 |        321 |        316 |        316 |        333 |        319 |        317 |        316 |        320
    miss rate                        |      5.05% |      5.03% |      5.08% |      5.08% |      5.20% |      5.05% |      5.06% |      5.06% |      5.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
