                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   28759913 |   28643339 |   28435525 |   28541786 |   28030825 |   27998652 |   27996634 |   27947284 |   27947745
  Cycles                             |  109709838 |  109709838 |  109709838 |  109709838 |  109709838 |  109709838 |  109709838 |  109709838 |  109709838
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.25 |       0.25
  Time (ns)                          |   41244300 |   41244300 |   41244300 |   41244300 |   41244300 |   41244300 |   41244300 |   41244300 |   41244300
  Idle time (ns)                     |        -19 |        119 |        121 |         82 |         76 |        -19 |         69 |         50 |         35
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1057394 |    1053343 |    1055415 |    1045454 |    1044826 |    1044788 |    1043826 |    1043835
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2867264 |    2851216 |    2859423 |    2819964 |    2817478 |    2817324 |    2813513 |    2813549
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778122 |   15717591 |   15609589 |   15664816 |   15399259 |   15382527 |   15381489 |   15355841 |   15356082
    num misses                       |       6344 |       6075 |       5617 |       5853 |       4724 |       4648 |       4643 |       4541 |       4541
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.21 |       0.20 |       0.21 |       0.17 |       0.17 |       0.17 |       0.16 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       6136 |       5678 |       5914 |       4785 |       4709 |       4704 |       4602 |       4602
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.15% |      5.57% |      5.34% |      6.60% |      6.71% |      6.72% |      6.87% |      6.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2867264 |    2851216 |    2859423 |    2819964 |    2817478 |    2817324 |    2813513 |    2813549
    num cache misses                 |    1271338 |    1278265 |    1332529 |    1314506 |    1361891 |    1354158 |    1319227 |    1329273 |    1301336
    miss rate                        |     44.20% |     44.58% |     46.74% |     45.97% |     48.29% |     48.06% |     46.83% |     47.25% |     46.25%
    mpki                             |      44.21 |      44.63 |      46.86 |      46.06 |      48.59 |      48.37 |      47.12 |      47.56 |      46.56
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778122 |   15717591 |   15609589 |   15664816 |   15399259 |   15382527 |   15381489 |   15355841 |   15356082
    num cache misses                 |     552246 |     553622 |     557639 |     556403 |     549459 |     547660 |     547176 |     550655 |     549957
    miss rate                        |      3.50% |      3.52% |      3.57% |      3.55% |      3.57% |      3.56% |      3.56% |      3.59% |      3.58%
    mpki                             |      19.20 |      19.33 |      19.61 |      19.49 |      19.60 |      19.56 |      19.54 |      19.70 |      19.68
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1824430 |    1832660 |    1890932 |    1871676 |    1912100 |    1902564 |    1867140 |    1880671 |    1852037
    num cache misses                 |     614769 |     616012 |     625155 |     630734 |     645144 |     651369 |     658533 |     664433 |     670188
    miss rate                        |     33.70% |     33.61% |     33.06% |     33.70% |     33.74% |     34.24% |     35.27% |     35.33% |     36.19%
    mpki                             |      21.38 |      21.51 |      21.98 |      22.10 |      23.02 |      23.26 |      23.52 |      23.77 |      23.98
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     615635 |     616796 |     625925 |     631513 |     645899 |     652122 |     659286 |     665181 |     670935
    num cache misses                 |      31124 |      30897 |      30846 |      27258 |      30487 |      30057 |      30600 |      30554 |      30574
    miss rate                        |      5.06% |      5.01% |      4.93% |      4.32% |      4.72% |      4.61% |      4.64% |      4.59% |      4.56%
    mpki                             |       1.08 |       1.08 |       1.08 |       0.96 |       1.09 |       1.07 |       1.09 |       1.09 |       1.09
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     355400 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      58.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      25702 |      25674 |      25818 |      22030 |      25432 |      24897 |      25396 |      25276 |      25339
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
