                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6728760 |    6725239 |    6728168 |    6726547 |    6725129 |    6724843 |    6725707 |    6727495 |    6728041 |    6727753 |    6724907 |    6724320 |    6727628 |    6725444 |    6726113 |    6727573
  Cycles                             |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354 |   44573354
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900 |   16756900
  Idle time (ns)                     |        -55 |         77 |        124 |          4 |        153 |         -3 |        -21 |        -34 |         -4 |        200 |        124 |         49 |         -3 |         42 |        138 |        107
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259678 |     259556 |     259628 |     259581 |     259554 |     259548 |     259565 |     259599 |     259613 |     259604 |     259549 |     259536 |     259602 |     259560 |     259573 |     259601
  num incorrect                      |       3961 |       3911 |       3915 |       3911 |       3911 |       3911 |       3911 |       3911 |       3912 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.48% |      1.49% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48% |      1.48%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680639 |     680309 |     680543 |     680409 |     680301 |     680278 |     680345 |     680482 |     680525 |     680502 |     680282 |     680235 |     680493 |     680325 |     680376 |     680489
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3650206 |    3648437 |    3649957 |    3649117 |    3648382 |    3648231 |    3648679 |    3649602 |    3649887 |    3649743 |    3648262 |    3647955 |    3649678 |    3648545 |    3648890 |    3649651
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     680639 |     680309 |     680543 |     680409 |     680301 |     680278 |     680345 |     680482 |     680525 |     680502 |     680282 |     680235 |     680493 |     680325 |     680376 |     680489
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3650206 |    3648437 |    3649957 |    3649117 |    3648382 |    3648231 |    3648679 |    3649602 |    3649887 |    3649743 |    3648262 |    3647955 |    3649678 |    3648545 |    3648890 |    3649651
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
