                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    6726656 |    6728723 |    6728831
  Cycles                             |   15021020 |   15021020 |   15021020
  IPC                                |       0.45 |       0.45 |       0.45
  Time (ns)                          |    5647000 |    5647000 |    5647000
  Idle time (ns)                     |        -62 |        -19 |        -62
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     259584 |     259676 |     259678
  num incorrect                      |       3911 |       3961 |       3961
  misprediction rate                 |      1.48% |      1.50% |      1.50%
  mpki                               |       0.58 |       0.59 |       0.59
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |     680420 |     680635 |     680639
    num misses                       |         60 |         62 |         62
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |           
    num accesses                     |    3649172 |    3650239 |    3650238
    num misses                       |        101 |        107 |        107
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |           
    num accesses                     |        161 |        169 |        169
    num misses                       |        146 |        147 |        147
    miss rate                        |     90.68% |     86.98% |     86.98%
    mpki                             |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |     680420 |     680635 |     680639
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |    3649172 |    3650239 |    3650238
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
