                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    6602145 |    6715162 |    6597528 |    6598817 |    6728783 |    6591254 |    6599175 |    6613287 |    6617811 |    6626190 |    6714261 |    6605461 |    6597999 |    6599657 |    6702598
  Cycles                             |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978 |   60709978
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300 |   22823300
  Idle time (ns)                     |        -14 |        152 |        152 |        228 |        -63 |        280 |        280 |         91 |        349 |        144 |        228 |         57 |        -14 |        -63 |        152
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     257124 |     259357 |     257032 |     257058 |     259678 |     256909 |     257065 |     257343 |     257434 |     257599 |     259338 |     257189 |     257042 |     257074 |     259108
  num incorrect                      |       3911 |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.49% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50% |      1.49% |      1.50% |      1.50% |      1.50% |      1.49%
  mpki                               |       0.59 |       0.58 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.58 |       0.59 |       0.59 |       0.59 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     670766 |     679528 |     670407 |     670507 |     680639 |     669922 |     670535 |     671628 |     671981 |     672630 |     679457 |     671022 |     670444 |     670572 |     678553
    num misses                       |         60 |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
